DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,46,1215436
BLP00-515-ASSTT REGISTRAR COOP. SOC. BILASPUR,Total, , , ,46,1215436
 ,0049-INTEREST RECEIPTS,Total, , ,1,118800
 , ,0049-04-800-05-INTEREST ON LOANS ADVANCED TO GOVT.SRVT.,Total, ,1,118800
 , , ,15/09/2017,Total,1,118800
 , , , ,"[K0049000001] HIMGRN:B17I118705, ASSISTANT REGISTRAR INTEREST ON LOANS ADVANCED TO GOVT SERVENT -H.B.A Interest Recovery From Sh. Parveen Kumar S/O Sh. O",1,118800
 ,0050-DIVIDENDS & PROFITS,Total, , ,8,65134
 , ,0050-00-200-01-CO-OPERATIVE SOCITIES,Total, ,8,65134
 , , ,03/06/2017,Total,1,10000
 , , , ,"[H0050000001] HIMGRN:B17F103781, ASSISTANT REGISTRAR CO-OPERATIVE SOCITIES -The Nakrana CAS Ltd. Badoh.",1,10000
 , , ,12/06/2017,Total,1,23814
 , , , ,"[H0050000002] HIMGRN:B17F112932, ASSISTANT REGISTRAR CO-OPERATIVE SOCITIES -Dividend on Govt. Share from the Cooperative Societies Sadar Block Bilaspur",1,23814
 , , ,15/06/2017,Total,2,5100
 , , , ,"[H0050000003] HIMGRN:B17F122293, ASSISTANT REGISTRAR CO-OPERATIVE SOCITIES -The Jeor Fishermen Industrial Coop. Societies, Ltd. Jeor.",1,3100
 , , , ,"[H0050000004] HIMGRN:B17F122609, ASSISTANT REGISTRAR CO-OPERATIVE SOCITIES -The Berthin CAS Ltd. Berthin .",1,2000
 , , ,27/11/2017,Total,1,1500
 , , , ,"[M0050000001] HIMGRN:B17K128126, ASSISTANT REGISTRAR CO-OPERATIVE SOCITIES -Money From Co-Op. Socs. receipt on account dividend from Govt. Share The Bila",1,1500
 , , ,14/12/2017,Total,1,15625
 , , , ,"[N0050000001] HIMGRN:B17L116758, ASSISTANT REGISTRAR CO-OPERATIVE SOCITIES -Receipt on account dividend from Govt. Share of The Markanda G/S of amount Rs",1,15625
 , , ,09/02/2018,Total,1,4095
 , , , ,"[D0050000001] HIMGRN:B18B113681, ASSISTANT REGISTRAR CO-OPERATIVE SOCITIES -Dividend on govt. share from the dabat coop. consumer store Ltd.",1,4095
 , , ,28/08/2018,Total,1,5000
 , , , ,"[J0050000002] HIMGRN:B18H136256, ASSISTANT REGISTRAR COOP SOCIETIES BILASPUR CO-OPERATIVE SOCITIES -Receipt on Account dividend from Govt Share of The Nakarana CAS Ltd Badoh of",1,5000
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,1,80
 , ,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,Total, ,1,80
 , , ,05/12/2017,Total,1,80
 , , , ,"[N0235000007] HIMGRN:B17L104962, ARCS BILASPUR INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR",1,80
 ,0425-CO-OPERATION,Total, , ,36,1031422
 , ,0425-00-101-01-RECEIPTS FROM AUDIT FEES,Total, ,4,622633
 , , ,30/11/2017,Total,1,46112
 , , , ,"[M0425000008] HIMGRN:B17K131615, ASSISTANT REGISTRAR RECEIPTS FROM AUDIT FEES -Audit Fees from Namhol CMP Rs.3636 , Dhui Panjial G/S Rs 2515,Kandrour CAS",1,46112
 , , ,20/03/2018,Total,1,41286
 , , , ,"[E0425000007] HIMGRN:B18C134793, ASSISTANT REGISTRAR RECEIPTS FROM AUDIT FEES -receipt from audit fees",1,41286
 , , ,31/03/2018,Total,1,40556
 , , , ,"[E0425000018] HIMGRN:B18C164611, ASSISTANT REGISTRAR RECEIPTS FROM AUDIT FEES -Receipts from audit fees",1,40556
 , , ,14/05/2018,Total,1,494679
 , , , ,"[G0425000002] HIMGRN:B18E120719, ASSISTANT REGISTRAR RECEIPTS FROM AUDIT FEES -Audit Fees",1,494679
 , ,0425-00-800-01-MISCELLANEOUS RECEIPTS,Total, ,16,6389
 , , ,02/06/2017,Total,1,3
 , , , ,"[H0425000003] HIMGRN:B17F101208, ASSISTANT REGISTRAR MISCELLANEOUS RECEIPTS -Excess Payment Passed from the Assistant Registrar Cooperative Societies Bil",1,3
 , , ,20/06/2017,Total,1,536
 , , , ,"[H0425000009] HIMGRN:B17F123069, ASSISTANT REGISTRAR MISCELLANEOUS RECEIPTS -M.R. Recovery from Sh. Anant Ram Bhardwaj.Ret.",1,536
 , , ,15/09/2017,Total,1,1180
