DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,34,350780
"BLP01-644-E.E. PWD DIVISION-II,BILASPUR ",Total, , , ,34,350780
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,10
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,10
 , , ,19/08/2017,Total,1,10
 , , , ,"[J0070000001] HIMGRN:B17H100999, CHHOTTU RAM RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,33,350770
 , ,8782-00-102-00- ,Total, ,33,350770
 , , ,29/04/2017,Total,1,8000
 , , , ,"[F8782000001] HIMGRN:b17d164845, AE HPWD SHRI NAINA DEVI JI PUBLIC WORKS REMITTANCES -",1,8000
 , , ,23/05/2017,Total,1,23080
 , , , ,"[G8782000003] HIMGRN:b17e127158, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,23080
 , , ,31/05/2017,Total,1,9280
 , , , ,"[G8782000005] HIMGRN:B17E143901, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -MISC RECEIPTS",1,9280
 , , ,30/06/2017,Total,2,37840
 , , , ,"[H8782000002] HIMGRN:B17F130137, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,18000
 , , , ,"[H8782000003] HIMGRN:B17F136575, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -Misc receipt",1,19840
 , , ,20/07/2017,Total,1,10585
 , , , ,"[I8782000001] HIMGRN:b17g120211, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,10585
 , , ,31/07/2017,Total,1,17350
 , , , ,"[I8782000003] HIMGRN:b17g136247, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -Misc Receipt",1,17350
 , , ,19/08/2017,Total,1,26035
 , , , ,"[J8782000001] HIMGRN:b17h117122, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,26035
 , , ,31/08/2017,Total,1,5930
