DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,158,58779
BLP02-506-DISTRICT REVENUE OFFICER BILASPUR,Total, , , ,158,58779
 ,0029-LAND REVENUE,Total, , ,156,39379
 , ,0029-00-101-01-FIXED LAND REVENUE,Total, ,2,9840
 , , ,31/05/2017,Total,1,2102
 , , , ,"[G0029000013] HIMGRN:B17E139021, NAIB TEHSILDAR FIXED LAND REVENUE -",1,2102
 , , ,29/09/2017,Total,1,7738
 , , , ,"[K0029000015] HIMGRN:B17I134068, NAIB TEHSILDAR BHARARI FIXED LAND REVENUE -",1,7738
 , ,0029-00-107-01-SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX,Total, ,13,3396
 , , ,21/04/2017,Total,1,984
 , , , ,"[F0029000013] HIMGRN:B17D129929, RAMU RAM S/O SH CHUDU RAM SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -fee",1,984
 , , ,23/05/2017,Total,1,90
 , , , ,"[G0029000010] HIMGRN:B17E124183, TEHSILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,90
 , , ,20/07/2017,Total,1,90
 , , , ,"[I0029000013] HIMGRN:B17G128533, TEHSILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,90
 , , ,31/07/2017,Total,1,645
 , , , ,"[I0029000015] HIMGRN:B17G138265, TEHSILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,645
 , , ,19/08/2017,Total,1,111
 , , , ,"[J0029000002] HIMGRN:B17H117696, TEHSILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,111
 , , ,31/08/2017,Total,2,614
 , , , ,"[J0029000003] HIMGRN:B17H125862, TEHSILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,576
 , , , ,"[J0029000004] HIMGRN:B17H125855, TEHSILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,38
 , , ,20/01/2018,Total,1,42
 , , , ,"[C0029000001] HIMGRN:B18A111558, TESHILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,42
 , , ,15/06/2018,Total,2,422
 , , , ,"[H0029000001] HIMGRN:B18E152090, TEHSILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,102
 , , , ,"[H0029000002] HIMGRN:B18E152096, TEHSILDAR GHUMARWIN SALE PROCEEDS OF WASTE LANDS AND RECEMPTION OF LAND TAX -",1,320
 , , ,16/07/2018,Total,1,37
