DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,9,15357
CHM00-259-GSSS KUTHER,Total, , , ,9,15357
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,9,15357
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,8,14786
 , , ,26/04/2017,Total,1,2035
 , , , ,"[F0202000034] HIMGRN:B17D159292, PRINCIPAL GSSS KUTHER TUITION AND OTHER FEES -",1,2035
 , , ,30/05/2017,Total,1,2990
 , , , ,"[G0202000076] HIMGRN:B17E141008, PRINCIPAL GSSS KUTHER TUITION AND OTHER FEES -",1,2990
 , , ,21/09/2017,Total,1,1515
 , , , ,"[K0202000042] HIMGRN:B17I121029, PRINCIPAL GSSS KUTHER TUITION AND OTHER FEES -",1,1515
 , , ,30/11/2017,Total,1,1485
 , , , ,"[M0202000055] HIMGRN:b17k131901, PRINCIPAL GSSS KUTHER TUITION AND OTHER FEES -",1,1485
 , , ,28/03/2018,Total,1,1685
 , , , ,"[E0202000092] HIMGRN:b18c155795, PRINCIPAL GSSS KUTHER TUITION AND OTHER FEES -",1,1685
 , , ,27/04/2018,Total,1,2255
 , , , ,"[F0202000059] HIMGRN:B18D171418, PRINCIPAL GSSS KUTHER TUITION AND OTHER FEES -",1,2255
 , , ,04/06/2018,Total,1,976
 , , , ,"[H0202000008] HIMGRN:b18f102995, PRINCIPAL GSSS KUTHER TUITION AND OTHER FEES -",1,976
 , , ,23/08/2018,Total,1,1845
 , , , ,"[J0202000028] HIMGRN:B18H124719, PRINCIPAL GSSS KUTHER TUITION AND OTHER FEES -",1,1845
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,1,571
 , , ,31/07/2018,Total,1,571
 , , , ,"[I0202000075] HIMGRN:b18g151305, PRINCIPAL GSSS KUTHER MISCELLANEOUS RECEIPTS -",1,571
