DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,7,11550
CHM00-624-A.E. MECH. SUB.DIV. CHAMBA,Total, , , ,7,11550
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,7,11550
 , ,8782-00-102-00- ,Total, ,7,11550
 , , ,27/04/2017,Total,1,2100
 , , , ,"[F8782000072] HIMGRN:B17D170781, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,2100
 , , ,23/05/2017,Total,1,2100
 , , , ,"[G8782000107] HIMGRN:B17E138175, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -PUBLIC WORKS REMITTANCES",1,2100
 , , ,15/07/2017,Total,1,2100
 , , , ,"[I8782000047] HIMGRN:B17G124566, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -Public Works Remittances",1,2100
 , , ,07/09/2017,Total,1,1050
 , , , ,"[K8782000011] HIMGRN:B17I107300, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -PUBLIC WORKS REMITTANCES",1,1050
 , , ,14/09/2017,Total,1,1050
 , , , ,"[K8782000023] HIMGRN:B17I117177, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -PUBLIC WORKS REMITTANCES",1,1050
 , , ,29/01/2018,Total,1,1050
 , , , ,"[C8782000132] HIMGRN:b18a139518, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -PUBLIC WORKS REMITTANCES",1,1050
 , , ,21/03/2018,Total,1,2100
 , , , ,"[E8782000110] HIMGRN:b18c137451, ASSISTANT ENGINNER PUBLIC WORKS REMITTANCES -PUBLIC WORKS REMITTANCES",1,2100
