DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,6,19254
CHM01-202-GHS MANDHA,Total, , , ,6,19254
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,6,19254
 , ,0202-01-101-02-SECONDARY EDUCATION,Total, ,1,639
 , , ,31/07/2018,Total,1,639
 , , , ,"[I0202000004] HIMGRN:B18G110908, PRINCIPAL GSSS MANDHA SECONDARY EDUCATION -",1,639
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,6,18615
 , , ,31/05/2017,Total,1,4010
 , , , ,"[G0202000005] HIMGRN:B17E136510, PRINCIPAL GSSS MANDHA TUITION AND OTHER FEES -",1,4010
 , , ,20/07/2017,Total,1,2625
 , , , ,"[I0202000004] HIMGRN:B17G112939, PRINCIPAL GOVT SR SEC SCHOOL MANDHA TUITION AND OTHER FEES -",1,2625
 , , ,31/10/2017,Total,1,2585
 , , , ,"[L0202000001] HIMGRN:B17J115234, RAMESH SHARMA PRINCIPAL GSSS MANDHA TUITION AND OTHER FEES -",1,2585
 , , ,30/12/2017,Total,1,2520
 , , , ,"[N0202000006] HIMGRN:B17L129840, PRINCIPAL GSSS MANDHA TUITION AND OTHER FEES -RECEIPTS FOR TUTION FEES",1,2520
 , , ,19/05/2018,Total,1,3955
 , , , ,"[G0202000005] HIMGRN:B18E120504, PRINCIPAL GSSS MANDHA TUITION AND OTHER FEES -",1,3955
 , , ,20/06/2018,Total,1,130
 , , , ,"[H0202000003] HIMGRN:B18E151637, PRINCIPAL GSSS MANDHA TUITION AND OTHER FEES -",1,130
 , , ,31/07/2018,Total,1,2790
 , , , ,"[I0202000003] HIMGRN:B18G110891, PRINCIPAL GSSS MANDHA TUITION AND OTHER FEES -",1,2790
