DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,5,8395
CHM05-215-GSSS NIGALI,Total, , , ,5,8395
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,5,8395
 , ,0202-01-101-04-MISCELLANEOUS RECEIPTS,Total, ,1,500
 , , ,30/06/2017,Total,1,500
 , , , ,"[H0202000004] HIMGRN:B17F122485, PRINCIPAL MISCELLANEOUS RECEIPTS -",1,500
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,3,7565
 , , ,31/08/2017,Total,1,3695
 , , , ,"[J0202000014] HIMGRN:B17H123894, PRINCIPAL GSSS NAGALI TUITION AND OTHER FEES -",1,3695
 , , ,28/02/2018,Total,1,2610
 , , , ,"[D0202000003] HIMGRN:B18B124842, PRINCIPAL GSSS NAGALI TUITION AND OTHER FEES -",1,2610
 , , ,19/05/2018,Total,1,1260
 , , , ,"[G0202000009] HIMGRN:B18E128091, PRINCIPAL TUITION AND OTHER FEES -",1,1260
 , ,0202-01-600-03-MISCELLANEOUS RECEIPTS,Total, ,1,330
 , , ,20/07/2017,Total,1,330
 , , , ,"[I0202000002] HIMGRN:B17G107864, PRINCIPAL SSS NIGALI MISCELLANEOUS RECEIPTS -AUCTION OF OLD TEXT BOOK",1,330
