DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,5,16735
CHM08-206-GSSS BHUNAD,Total, , , ,5,16735
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,5,16735
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,3,5535
 , , ,31/05/2017,Total,1,2265
 , , , ,"[G0202000004] HIMGRN:B17E108025, PRINCIPAL GSSS BHUNAD TUITION AND OTHER FEES -admission fee ,slc and tuition fee",1,2265
 , , ,31/10/2017,Total,1,1395
 , , , ,"[L0202000005] HIMGRN:B17J109639, PRINCIPAL GSSS BHUNAD TUITION AND OTHER FEES -Tuition fee for October 2017",1,1395
 , , ,30/06/2018,Total,1,1875
 , , , ,"[H0202000002] HIMGRN:B18F102222, PRINCIPAL GSSS BHUNAD TUITION AND OTHER FEES -Submission of admission fee, slc and tuition fee for2018-19",1,1875
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,4080
 , , ,28/04/2018,Total,1,4080
 , , , ,"[F0202000004] HIMGRN:B18D153517, PRINCIPAL GSSS BHUNAD RECOVERIES OF OVER PAYMENT -Revovery Amount on a/c Excess payment paid in annual increment w.e.f. 01",1,4080
 , ,0202-01-600-03-MISCELLANEOUS RECEIPTS,Total, ,1,7120
 , , ,28/02/2018,Total,1,7120
 , , , ,"[D0202000004] HIMGRN:B18B114330, PRINCIPAL GSSS BHUNAD MISCELLANEOUS RECEIPTS -Submission of amount collected from auctioned material",1,7120
