DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,4,2200
CHM08-950-CHIEF ELECTRICAL INSPECTOR,Total, , , ,4,2200
 ,0043-TAXES & DUTIES ON ELECTRICITY,Total, , ,4,2200
 , ,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,Total, ,4,2200
 , , ,30/06/2017,Total,2,1050
 , , , ,"[H0043000001] HIMGRN:B17F130034, AE ELECTRICAL SUB DIVISION HPSEBL BHALAIE RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
 , , , ,"[H0043000002] HIMGRN:B17F127784, AE ELECTRICAL SUB DIVISION HPSEBL BHALAIE RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,550
 , , ,31/03/2018,Total,1,500
 , , , ,"[E0043000001] HIMGRN:B18C120021, AE ELECTRICAL SUB DIVISION HPSEBL BHALAIE RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
 , , ,28/04/2018,Total,1,650
 , , , ,"[F0043000001] HIMGRN:B18D126226, AE ELECTRICAL SUB DIVISION HPSEBL BHALAIE RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,650
