DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,3,4983
HMR00-226-HM GHS DUGHA,Total, , , ,3,4983
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,3,4983
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,3,4983
 , , ,17/05/2017,Total,1,203
 , , , ,"[G0202000048] HIMGRN:B17E120919, HMGHS DUGHA TUITION AND OTHER FEES -AD SLC L R",1,203
 , , ,19/08/2017,Total,1,4574
 , , , ,"[J0202000029] HIMGRN:B17H122329, HMGHS DUGHA TUITION AND OTHER FEES -FIXATION ON PROMOTION",1,4574
 , , ,21/06/2018,Total,1,206
 , , , ,"[H0202000049] HIMGRN:B18F127882, HMGHSDUGHA TUITION AND OTHER FEES -Ad.SLC.ReeAd",1,206
