DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,50,4408571
HMR02-738-IPH DIVISION HAMIRPUR,Total, , , ,50,4408571
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,50,4408571
 , ,8782-00-102-00- ,Total, ,50,4408571
 , , ,10/04/2017,Total,1,12475
 , , , ,"[F8782000001] HIMGRN:B17D101618, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,12475
 , , ,20/04/2017,Total,1,69216
 , , , ,"[F8782000002] HIMGRN:B17D141611, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,69216
 , , ,29/04/2017,Total,2,332495
 , , , ,"[F8782000004] HIMGRN:B17D149919, ASSISTANT ENGINEER IPH SUB DIVISION NADAUN PUBLIC WORKS REMITTANCES -",1,84673
 , , , ,"[F8782000005] HIMGRN:B17D159291, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,247822
 , , ,09/05/2017,Total,2,46630
 , , , ,"[G8782000001] HIMGRN:B17E100356, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-CHALLAN",1,3500
 , , , ,"[G8782000002] HIMGRN:B17E103621, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,43130
 , , ,22/05/2017,Total,1,83598
 , , , ,"[G8782000003] HIMGRN:B17E114647, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e- challan",1,83598
 , , ,31/05/2017,Total,2,27976
 , , , ,"[G8782000004] HIMGRN:B17E131421, ASSTT ENGINEER IPH NADAUN PUBLIC WORKS REMITTANCES -",1,26576
 , , , ,"[G8782000006] HIMGRN:B17E144222, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,1400
 , , ,08/06/2017,Total,1,24418
 , , , ,"[H8782000001] HIMGRN:B17F108666, ASSTT ENGINEER IPH NADAUN PUBLIC WORKS REMITTANCES -",1,24418
 , , ,30/06/2017,Total,2,155722
 , , , ,"[H8782000002] HIMGRN:B17F129340, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,154677
 , , , ,"[H8782000004] HIMGRN:B17F142320, ASSISTENT ENGINEER PUBLIC WORKS REMITTANCES -Assistant Engineer IPH Sub Division Nadaun",1,1045
 , , ,10/07/2017,Total,1,28988
 , , , ,"[I8782000001] HIMGRN:B17F146412, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES --",1,28988
 , , ,31/07/2017,Total,1,73191
 , , , ,"[I8782000002] HIMGRN:B17G132947, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,73191
 , , ,10/08/2017,Total,1,75934
 , , , ,"[J8782000001] HIMGRN:B17H102241, ASSISTANT ENGG IPH NADAUN PUBLIC WORKS REMITTANCES -",1,75934
 , , ,19/08/2017,Total,1,126769
 , , , ,"[J8782000003] HIMGRN:B17H115024, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,126769
 , , ,31/08/2017,Total,1,189849
 , , , ,"[J8782000004] HIMGRN:B17H131870, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -eChallan",1,189849
 , , ,08/09/2017,Total,2,31900
 , , , ,"[K8782000001] HIMGRN:B17I102434, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,700
 , , , ,"[K8782000002] HIMGRN:B17I103337, ASSISTENT ENGINEER PUBLIC WORKS REMITTANCES -eChallan",1,31200
 , , ,22/09/2017,Total,1,45718
 , , , ,"[K8782000004] HIMGRN:B17I116115, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -eChallan",1,45718
 , , ,29/09/2017,Total,1,79584
 , , , ,"[K8782000006] HIMGRN:B17I131710, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -eChallan",1,79584
 , , ,21/10/2017,Total,2,453119
 , , , ,"[L8782000001] HIMGRN:B17J108401, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -eChallan",1,143744
 , , , ,"[L8782000002] HIMGRN:B17J122766, ASSISTANT ENGG IPH NADAUN PUBLIC WORKS REMITTANCES -",1,309375
 , , ,31/10/2017,Total,1,3158
 , , , ,"[L8782000003] HIMGRN:B17J128057, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,3158
 , , ,10/11/2017,Total,1,23805
