DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,5,48700
HMR03-534-DISTRICT MINING OFFICER,Total, , , ,5,48700
 ,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,Total, , ,5,48700
 , ,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",Total, ,5,48700
 , , ,31/07/2017,Total,1,11000
 , , , ,"[I0853000002] HIMGRN:B17G137506, SHO SJN RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,11000
 , , ,31/07/2018,Total,3,30600
 , , , ,"[I0853000005] HIMGRN:B18G135876, SHO SUJANPUR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,20400
 , , , ,"[I0853000006] HIMGRN:B18G140839, PS SUJANPUR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,5100
 , , , ,"[I0853000007] HIMGRN:B18G142657, PS SUJANPUR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,5100
 , , ,31/08/2018,Total,1,7100
 , , , ,"[J0853000003] HIMGRN:B18H141336, PS SUJANPUR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,7100
