DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,26,738371
KLU01-215-PR GC BANJAR,Total, , , ,26,738371
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,26,738371
 , ,0202-01-103-01-TUTION AND OTHER FEES,Total, ,24,700525
 , , ,22/06/2017,Total,3,120550
 , , , ,"[H0202000006] HIMGRN:B17F128517, PRINCIPAL TUTION AND OTHER FEES -",1,31825
 , , , ,"[H0202000009] HIMGRN:B17F130929, PRINCIPAL TUTION AND OTHER FEES -",1,46375
 , , , ,"[H0202000010] HIMGRN:B17F132817, PRINCIPAL TUTION AND OTHER FEES -",1,42350
 , , ,30/06/2017,Total,4,172150
 , , , ,"[H0202000011] HIMGRN:B17F135062, PRINCIPAL TUTION AND OTHER FEES -",1,41325
 , , , ,"[H0202000012] HIMGRN:B17F138395, PRINCIPAL TUTION AND OTHER FEES -",1,42050
 , , , ,"[H0202000014] HIMGRN:B17F143119, PRINCIPALGDCBANJAR TUTION AND OTHER FEES -Tution and otherfees",1,61175
 , , , ,"[H0202000015] HIMGRN:B17F145166, PRINCIPAL TUTION AND OTHER FEES -",1,27600
 , , ,19/07/2017,Total,4,51475
 , , , ,"[I0202000001] HIMGRN:B17G106115, PRINCIPAL TUTION AND OTHER FEES -",1,30750
 , , , ,"[I0202000004] HIMGRN:B17G115596, PRINCIPAL GDC BANJAR TUTION AND OTHER FEES -",1,8200
 , , , ,"[I0202000006] HIMGRN:B17G124214, PRINCIPAL GDC BANJAR TUTION AND OTHER FEES -",1,4425
 , , , ,"[I0202000008] HIMGRN:B17G128217, PRINCIPAL GDC BANJAR TUTION AND OTHER FEES -",1,8100
 , , ,31/07/2017,Total,1,23075
 , , , ,"[I0202000016] HIMGRN:B17G141612, PRINCIPAL GDC BANJAR TUTION AND OTHER FEES -",1,23075
 , , ,23/08/2017,Total,2,900
 , , , ,"[J0202000001] HIMGRN:B17H112701, PRINCIPAL GDC BANJAR TUTION AND OTHER FEES -Recovery of Tution Fee of Receipt No 7644 Dated 21/06/2017",1,600
 , , , ,"[J0202000002] HIMGRN:B17H112592, PRINCIPAL GDC BANJAR TUTION AND OTHER FEES -Re admission Rs 300",1,300
 , , ,24/10/2017,Total,1,400
 , , , ,"[L0202000003] HIMGRN:B17J120636, PRINCIPAL TUTION AND OTHER FEES -Re Admission of students 8/2017",1,400
 , , ,16/03/2018,Total,1,100
 , , , ,"[E0202000003] HIMGRN:B18C116452, PRINCIPAL TUTION AND OTHER FEES -Re admission fee",1,100
 , , ,30/06/2018,Total,5,286425
 , , , ,"[H0202000020] HIMGRN:B18F136366, PRINCIPAL TUTION AND OTHER FEES -Admission Fee And Tution Fee 6/2018",1,123625
 , , , ,"[H0202000021] HIMGRN:B18F138408, PRINCIPAL TUTION AND OTHER FEES -TUTION AND OTHER FEES",1,37725
 , , , ,"[H0202000022] HIMGRN:B18F140441, PRINCIPAL TUTION AND OTHER FEES -",1,32650
 , , , ,"[H0202000024] HIMGRN:B18F142868, PRINCIPAL TUTION AND OTHER FEES -",1,66275
 , , , ,"[H0202000027] HIMGRN:B18F145114, PRINCIPAL TUTION AND OTHER FEES -",1,26150
 , , ,18/07/2018,Total,1,18675
 , , , ,"[I0202000003] HIMGRN:B18G107318, PRINCIPAL TUTION AND OTHER FEES -",1,18675
 , , ,31/07/2018,Total,2,26775
 , , , ,"[I0202000011] HIMGRN:B18G125765, PRINCIPAL TUTION AND OTHER FEES -",1,16450
 , , , ,"[I0202000020] HIMGRN:B18G141950, PRINCIPAL TUTION AND OTHER FEES -",1,10325
 , ,0202-01-103-02-MISCELLANEOUS RECEIPTS,Total, ,1,1306
 , , ,09/10/2017,Total,1,1306
 , , , ,"[L0202000001] HIMGRN:B17J103780, PRINCIPAL MISCELLANEOUS RECEIPTS -",1,1306
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,36540
 , , ,22/06/2017,Total,1,36540
 , , , ,"[H0202000005] HIMGRN:B17F123157, PRINCIPAL RECOVERIES OF OVER PAYMENT -",1,36540
