DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,5,2500
KLU03-206-BEEO NIRMAND,Total, , , ,5,2500
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,5,2500
 , ,0202-01-101-02-SECONDARY EDUCATION,Total, ,1,500
 , , ,07/02/2018,Total,1,500
 , , , ,"[D0202000001] HIMGRN:B18B100813, PRINCIPAL SECONDARY EDUCATION -",1,500
 , ,0202-01-101-04-MISCELLANEOUS RECEIPTS,Total, ,1,500
 , , ,19/03/2018,Total,1,500
 , , , ,"[E0202000004] HIMGRN:B18C117309, AMIT PUBLIC SCHOOL KHARGA MISCELLANEOUS RECEIPTS -Renewal Fees",1,500
 , ,0202-01-101-05-RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUION MAMANGEMENT,Total, ,3,1500
 , , ,23/03/2018,Total,1,500
 , , , ,"[E0202000012] HIMGRN:B18C134906, RISHI PUBLIC SCHOOL PAJENDA RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal fee",1,500
 , , ,31/03/2018,Total,2,1000
 , , , ,"[E0202000013] HIMGRN:B18C142584, NAV JYOTI PUBLIC SCHOOL SARAHAR RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal fee",1,500
 , , , ,"[E0202000017] HIMGRN:B18C150361, SHIRKHAND PUBLIC SCHOOL THARLA RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal Fee",1,500
