DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,6,2492586
KNG01-007-BLOCK DEV. OFFICER RAIT,Total, , , ,6,2492586
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,5,2455817
 , ,0070-60-800-05-MISCELLANEOUS RECEIPTS,Total, ,5,2455817
 , , ,31/03/2018,Total,4,1982964
 , , , ,"[E0070000019] HIMGRN:B18C134892, BDO RAIT MISCELLANEOUS RECEIPTS -INTEREST EARNED UNDER HEAD MMGPY DEPOSITED THEREOF FOR THE YEAR 2016-17 AND",1,136672
 , , , ,"[E0070000020] HIMGRN:B18C134917, BDO RAIT MISCELLANEOUS RECEIPTS -INTEREST EARNED MONEY DEPOSITED UNDER HEAD V.M.J.S. DEPOSITED THEREOF FOR TH",1,218118
 , , , ,"[E0070000021] HIMGRN:B18C134876, BDO RAIT MISCELLANEOUS RECEIPTS -Interest earned under Head VKVNY deposited thereof for the year 2016-17 and",1,706404
 , , , ,"[E0070000022] HIMGRN:B18C134822, BDO RAIT MISCELLANEOUS RECEIPTS -Interest earned under Head SDP deposit thereof for the year 2016 17 and 2017",1,921770
 , , ,27/04/2018,Total,1,472853
 , , , ,"[F0070000016] HIMGRN:B18D145291, BDO RAIT MISCELLANEOUS RECEIPTS -Interest earned under Head NC Relief deposited thereof for the year 2016-17",1,472853
 ,0515-OTHER RURAL DEVELOPMENT PROGRAMMES,Total, , ,1,36769
 , ,0515-00-102-02-MISCELLANEOUS,Total, ,1,36769
 , , ,24/01/2018,Total,1,36769
 , , , ,"[C0515000001] HIMGRN:B18A121518, SH RAJ KUMAR PS MISCELLANEOUS -",1,36769
