DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,13,16682
KNG01-222-GSSS HATWAS,Total, , , ,13,16682
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,12,16284
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,11,15957
 , , ,31/05/2017,Total,1,3590
 , , , ,"[G0202000014] HIMGRN:B17E102543, PRINCIPAL GSSS HATWAS TUITION AND OTHER FEES -ADM. FESS, SLC, LFF, TUTION FEES. ETC.",1,3590
 , , ,24/08/2017,Total,1,127
 , , , ,"[J0202000024] HIMGRN:B17H119334, GUEST TUITION AND OTHER FEES -",1,127
 , , ,08/09/2017,Total,1,2645
 , , , ,"[K0202000009] HIMGRN:B17H140050, GUEST TUITION AND OTHER FEES -",1,2645
 , , ,28/09/2017,Total,1,95
 , , , ,"[K0202000025] HIMGRN:B17I114324, GUEST TUITION AND OTHER FEES -",1,95
 , , ,08/12/2017,Total,1,55
 , , , ,"[N0202000005] HIMGRN:B17L104722, PRINCIPAL TUITION AND OTHER FEES -",1,55
 , , ,22/12/2017,Total,1,2250
 , , , ,"[N0202000017] HIMGRN:B17L120707, PRINCIPAL TUITION AND OTHER FEES -",1,2250
 , , ,23/02/2018,Total,1,90
 , , , ,"[D0202000023] HIMGRN:B18B114297, GUEST TUITION AND OTHER FEES -",1,90
 , , ,19/03/2018,Total,1,2385
 , , , ,"[E0202000004] HIMGRN:B18C109911, GUEST TUITION AND OTHER FEES -",1,2385
 , , ,31/03/2018,Total,1,90
 , , , ,"[E0202000028] HIMGRN:B18C153411, GUEST TUITION AND OTHER FEES -",1,90
 , , ,24/05/2018,Total,1,4515
 , , , ,"[G0202000017] HIMGRN:B18E121263, GUEST TUITION AND OTHER FEES -",1,4515
 , , ,20/08/2018,Total,1,115
 , , , ,"[J0202000003] HIMGRN:B18H102285, GUEST TUITION AND OTHER FEES -",1,115
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,327
 , , ,23/02/2018,Total,1,327
 , , , ,"[D0202000022] HIMGRN:B18B114298, GUEST RECOVERIES OF OVER PAYMENT -HRA recovery 2017-2018 by Smt Kavita Kumari TGT M IP17-18051Amt rs-327",1,327
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,1,398
 , ,0235-60-800-01-MISC.RECEIPT ON A/C OF UNSPENT BALANCE,Total, ,1,398
 , , ,22/12/2017,Total,1,398
 , , , ,"[N0235000008] HIMGRN:B17L122692, PRINCIPAL MISC.RECEIPT ON A/C OF UNSPENT BALANCE -RECOVERY OF MR BILL in r/o Sh. Kishan Chand Mehta Retd. H. M",1,398
