DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,17,298449
KNG02-013-PRINCIPAL ITI NEHRAN PUKHAR,Total, , , ,17,298449
 ,0230-LABOUR & EMPLOYMENT,Total, , ,17,298449
 , ,0230-00-800-08-OTHER MISC.RECEIPTS- TECHNICAL EDUCATION,Total, ,17,298449
 , , ,29/04/2017,Total,1,500
 , , , ,"[F0230000001] HIMGRN:B17D164065, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen rent for April, 2017",1,500
 , , ,31/05/2017,Total,1,500
 , , , ,"[G0230000002] HIMGRN:B17E130473, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen Rent for May 2017",1,500
 , , ,30/06/2017,Total,1,500
 , , , ,"[H0230000003] HIMGRN:B17F129111, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen rent for June 2017",1,500
 , , ,20/07/2017,Total,3,36149
 , , , ,"[I0230000001] HIMGRN:B17F143105, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Undisbursed amount of stipend vide cheque No 137451, 29.06",1,35149
 , , , ,"[I0230000002] HIMGRN:B17G102570, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen rent for the month of July 2017",1,500
 , , , ,"[I0230000003] HIMGRN:B17G105872, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Readmission fee of Mr Abhinav S/O Sh. Chanderkant COPA",1,500
 , , ,31/08/2017,Total,1,500
 , , , ,"[J0230000001] HIMGRN:B17H127060, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen rent for August 2017",1,500
 , , ,21/09/2017,Total,1,118800
 , , , ,"[K0230000001] HIMGRN:B17I106539, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Tuition Fee Rs.96000.00 and Admission Fee Rs.22800.00 Tota",1,118800
 , , ,29/09/2017,Total,2,12900
 , , , ,"[K0230000003] HIMGRN:B17I119636, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission fee of IMC for the session 2017-18",1,12400
 , , , ,"[K0230000004] HIMGRN:B17I131990, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen Rent for September, 2017",1,500
 , , ,24/10/2017,Total,2,28100
 , , , ,"[L0230000001] HIMGRN:B17I119649, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission fee of PPP MODE for the session 2017-18 1st Sem",1,27600
 , , , ,"[L0230000002] HIMGRN:B17J108457, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen Rent for the month of October, 2017",1,500
 , , ,21/11/2017,Total,1,500
 , , , ,"[M0230000001] HIMGRN:B17K114008, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen Rent for the month of November, 2017",1,500
 , , ,20/12/2017,Total,1,500
 , , , ,"[N0230000001] HIMGRN:B17L106180, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Rent of Canteen for the month of December, 2017",1,500
 , , ,20/01/2018,Total,1,500
 , , , ,"[C0230000002] HIMGRN:B18A112451, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen Rent for the month of Canteen rent of January, 201",1,500
 , , ,28/02/2018,Total,1,500
 , , , ,"[D0230000002] HIMGRN:B18B130204, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen rent for the month of Feb., 2018",1,500
 , , ,27/03/2018,Total,1,96000
 , , , ,"[E0230000001] HIMGRN:B18C130978, KULDIP SINGH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Tuition fee of 2nd semester collected during Feb., 2018 vi",1,96000
 , , ,25/07/2018,Total,2,2500
 , , , ,"[I0230000001] HIMGRN:B18G126401, PRINCIPAL ITI NEHRANPUKHAR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Rent of Canteen for the Month of July 2018",1,500
 , , , ,"[I0230000002] HIMGRN:B18G126488, PRINCIPAL ITI NEHRANPUKHAR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Rent of Canteen 500 per month w.e.f. March 2018 to June 20",1,2000
