DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,57,1185713
KNG02-534-MINING OFFICER KANGRA,Total, , , ,57,1185713
 ,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,Total, , ,57,1185713
 , ,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",Total, ,57,1185713
 , , ,29/04/2017,Total,9,83600
 , , , ,"[F0853000001] HIMGRN:B17D115574, SDPO JAWALAMUKHI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
 , , , ,"[F0853000002] HIMGRN:B17D122824, I/C POLICE POST RANITAL RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Fine Police Post Ranital P.S haripur",1,4700
 , , , ,"[F0853000003] HIMGRN:B17D127068, INSP ONKAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,4700
 , , , ,"[F0853000004] HIMGRN:B17D139604, I/C PP SANSARPUR TERRACE RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining fine of PP Sansarpur Terrace",1,9000
 , , , ,"[F0853000005] HIMGRN:B17D139919, SHO POLICE STATION DEHRA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -MINING FINE OF POLICE STATION DEHRA",1,32600
 , , , ,"[F0853000006] HIMGRN:B17D142812, INSP ONKAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,9400
 , , , ,"[F0853000007] HIMGRN:B17D158255, I/C PP DADASIBA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -MINING FINE PP DADASIBA",1,4500
 , , , ,"[F0853000009] HIMGRN:B17D174942, ASI RAMESH CHAND RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act Challan",1,4500
 , , , ,"[F0853000010] HIMGRN:B17D174659, SHOPOLICE STATION DEHRA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -MINNING ACT CHALLAN",1,9500
 , , ,31/05/2017,Total,5,65200
 , , , ,"[G0853000001] HIMGRN:B17E100497, ASI SHER SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -MINING ACT CHALLAN",1,9000
 , , , ,"[G0853000002] HIMGRN:B17E100221, INSP ONKAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,18800
 , , , ,"[G0853000003] HIMGRN:B17E122425, INSP ONKAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,23500
 , , , ,"[G0853000008] HIMGRN:B17E139384, INSP ONKAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,9400
 , , , ,"[G0853000011] HIMGRN:B17E149053, I/C PP DADASIBA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -MINING FINE OF PP DADASIBA",1,4500
 , , ,21/06/2017,Total,2,19100
 , , , ,"[H0853000001] HIMGRN:B17F100046, INSP ONKAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,14100
 , , , ,"[H0853000002] HIMGRN:B17F101880, MANJEET SINGH S/O PUNJAB SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,5000
 , , ,30/06/2017,Total,2,23500
 , , , ,"[H0853000004] HIMGRN:B17F122617, I/C PP SANSARPUR TERRACE RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act Fine PP Sansarpur Terrace",1,4700
 , , , ,"[H0853000007] HIMGRN:B17F137813, INSP ONKAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,18800
 , , ,20/07/2017,Total,2,19100
 , , , ,"[I0853000005] HIMGRN:B17G113209, JEET SINGH S/O DHARAM RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,5000
 , , , ,"[I0853000007] HIMGRN:B17G116110, INSP ONKAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,14100
 , , ,29/07/2017,Total,2,18600
 , , , ,"[I0853000008] HIMGRN:B17G123269, ASI SHER SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -MINING FINE PP SANSARPUR TERRACE",1,4500
 , , , ,"[I0853000009] HIMGRN:B17G124677, SI HOSHIAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,14100
 , , ,08/08/2017,Total,1,9400
 , , , ,"[J0853000002] HIMGRN:B17G150033, SI HOSHIAR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,9400
 , , ,31/08/2017,Total,2,18400
