DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,17,31731
KNG04-214-GSSS LADORI,Total, , , ,17,31731
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,2,20
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,2,20
 , , ,30/12/2017,Total,1,10
 , , , ,"[N0070000015] HIMGRN:B17L129331, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -RTI FEE REGARDING OM DEVI",1,10
 , , ,22/02/2018,Total,1,10
 , , , ,"[D0070000007] HIMGRN:B18B107148, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -RTI FEE",1,10
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,13,31551
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,11,28128
 , , ,31/05/2017,Total,3,6435
 , , , ,"[G0202000010] HIMGRN:B17E107130, PRINCIPAL TUITION AND OTHER FEES -Admission Late admission Fee Tution Fee SLC Class 9Th 10Th 10+1 10+2",1,5590
 , , , ,"[G0202000032] HIMGRN:B17E134523, PRINCIPAL TUITION AND OTHER FEES -S.LC.L.F.F Admission Fee.Late Admission Fee Class 6Th To 10+2",1,785
 , , , ,"[G0202000048] HIMGRN:B17E150542, PRINCIPAL TUITION AND OTHER FEES -SLC.Late Fee Fine class 10+1",1,60
 , , ,10/07/2017,Total,1,5
 , , , ,"[I0202000001] HIMGRN:B17F137172, PRINCIPAL TUITION AND OTHER FEES -SLC Class 9Th",1,5
 , , ,31/08/2017,Total,1,6305
 , , , ,"[J0202000018] HIMGRN:B17H139454, PRINCIPAL TUITION AND OTHER FEES -TUTION FEE",1,6305
 , , ,08/09/2017,Total,1,90
 , , , ,"[K0202000002] HIMGRN:B17I100797, PRINCIPAL TUITION AND OTHER FEES -TUTION FEE",1,90
 , , ,30/12/2017,Total,1,13
 , , , ,"[N0202000027] HIMGRN:B17L129464, PRINCIPAL TUITION AND OTHER FEES -SLC RE-ADMISSION CLASS 10Th CLASS RECEIVED FROM G.H.S.DANNI U/C GSSS.LADORI",1,13
 , , ,20/01/2018,Total,1,3105
 , , , ,"[C0202000014] HIMGRN:B18A125257, PRINCIPAL TUITION AND OTHER FEES -TUTION FEE CLASS 10+1,10+2",1,3105
 , , ,24/05/2018,Total,2,5980
 , , , ,"[G0202000009] HIMGRN:B18E104962, PRINCIPAL TUITION AND OTHER FEES -CLASS 6Th, 9Th10+1,10+2",1,5715
 , , , ,"[G0202000021] HIMGRN:B18E130864, PRINCIPAL TUITION AND OTHER FEES -TUTION FEE.LATE ADD.FEE.ADD.FEE",1,265
 , , ,31/08/2018,Total,1,6195
 , , , ,"[J0202000016] HIMGRN:B18H136805, PRINCIPAL TUITION AND OTHER FEES -SLC TUTION FEE",1,6195
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,2,3423
 , , ,31/10/2017,Total,1,3342
 , , , ,"[L0202000019] HIMGRN:B17J136998, PRINCIPAL RECOVERIES OF OVER PAYMENT -RECEIVED FROM RENU DEVI O.T",1,3342
 , , ,22/11/2017,Total,1,81
 , , , ,"[M0202000015] HIMGRN:B17K115893, PRINCIPAL RECOVERIES OF OVER PAYMENT -RECOVERY OF OVER PAYMENT 28/9/2017 TO 30/9/2017 IN r/o Sh.Amarjeet Singh",1,81
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,2,160
 , ,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,Total, ,2,160
 , , ,22/02/2018,Total,2,160
 , , , ,"[D0235000001] HIMGRN:B18B108524, PRINCIPAL LADORI INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -HEM LATA Drg Teacher",1,80
 , , , ,"[D0235000002] HIMGRN:B18B108549, PRINCIPAL LADORI INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -VANDANA PATHANIA L.T WORKING IN G.H.S DANNI U",1,80
