DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,8,9229
KNG05-246-PRINCIPAL GSSS SANHOON THURAL,Total, , , ,8,9229
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,8,9229
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,7,7706
 , , ,31/05/2017,Total,1,1921
 , , , ,"[G0202000043] HIMGRN:B17E143873, PRINCIPAL TUITION AND OTHER FEES -AD FEES ,TUITION FEES LATE FEES EXTRA",1,1921
 , , ,20/07/2017,Total,1,1080
 , , , ,"[I0202000006] HIMGRN:B17G103811, PRINCIPAL TUITION AND OTHER FEES -",1,1080
 , , ,24/10/2017,Total,1,1080
 , , , ,"[L0202000011] HIMGRN:B17J118299, PRINCIPAL TUITION AND OTHER FEES -Tuition fees",1,1080
 , , ,30/01/2018,Total,1,1080
 , , , ,"[C0202000017] HIMGRN:B18A132514, PRINICIPAL TUITION AND OTHER FEES -",1,1080
 , , ,27/04/2018,Total,1,1565
 , , , ,"[F0202000026] HIMGRN:B18D169875, PRINCIPAL TUITION AND OTHER FEES -TUITION FEES AD. FEES. LATE FESS.",1,1565
 , , ,11/06/2018,Total,1,170
 , , , ,"[H0202000014] HIMGRN:B18E151719, PRINCIPAL TUITION AND OTHER FEES -",1,170
 , , ,16/07/2018,Total,1,810
 , , , ,"[I0202000009] HIMGRN:B18G107216, PRINCIPAL TUITION AND OTHER FEES -TUITION FEES ,",1,810
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,1523
 , , ,27/04/2018,Total,1,1523
 , , , ,"[F0202000027] HIMGRN:B18D169934, PRINCIPAL RECOVERIES OF OVER PAYMENT -recovery of over payment",1,1523
