DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,10,118180
KNG06-216-PRINCIPAL ITI DHAMETA,Total, , , ,10,118180
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,20
 , ,0070-60-800-05-MISCELLANEOUS RECEIPTS,Total, ,1,20
 , , ,31/05/2017,Total,1,20
 , , , ,"[G0070000010] HIMGRN:B17E143335, GOVT MISCELLANEOUS RECEIPTS -",1,20
 ,0230-LABOUR & EMPLOYMENT,Total, , ,7,118000
 , ,0230-00-800-08-OTHER MISC.RECEIPTS- TECHNICAL EDUCATION,Total, ,7,118000
 , , ,21/09/2017,Total,3,76000
 , , , ,"[K0230000001] HIMGRN:B17I105306, GOVT OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,23200
 , , , ,"[K0230000002] HIMGRN:B17I103171, GOVT OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,25800
 , , , ,"[K0230000003] HIMGRN:B17I105827, GOVT OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,27000
 , , ,24/10/2017,Total,1,3200
 , , , ,"[L0230000001] HIMGRN:B17J113168, GOVT OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,3200
 , , ,21/11/2017,Total,1,600
 , , , ,"[M0230000001] HIMGRN:B17K108670, GOVT OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,600
 , , ,08/12/2017,Total,1,1000
 , , , ,"[N0230000001] HIMGRN:B17K132537, GOVT OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,1000
 , , ,20/04/2018,Total,1,37200
 , , , ,"[F0230000001] HIMGRN:B18D130888, GOVT OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,37200
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,2,160
 , ,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,Total, ,2,160
 , , ,20/12/2017,Total,2,160
 , , , ,"[N0235000002] HIMGRN:B17L116440, SAPNA INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -",1,80
 , , , ,"[N0235000003] HIMGRN:B17L116541, GULZARI LAL INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -",1,80
