DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,19,153580
KNG07-215-GOVT DEGREE COLLEGE KHUNDIAN,Total, , , ,19,153580
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,19,153580
 , ,0202-01-103-01-TUTION AND OTHER FEES,Total, ,18,153280
 , , ,30/06/2017,Total,3,38825
 , , , ,"[H0202000005] HIMGRN:B17F140359, PRINCIPAL GDC KHUNDIAN TUTION AND OTHER FEES -",1,11325
 , , , ,"[H0202000006] HIMGRN:B17F142356, PRINCIPAL GDC KHUNDIAN TUTION AND OTHER FEES -",1,19550
 , , , ,"[H0202000007] HIMGRN:B17F144635, PRINCIPAL GDC KHUNDIAN TUTION AND OTHER FEES -",1,7950
 , , ,10/07/2017,Total,2,7010
 , , , ,"[I0202000001] HIMGRN:B17F146955, PRINCIPAL GDC KHUNDIAN TUTION AND OTHER FEES -",1,6575
 , , , ,"[I0202000002] HIMGRN:B17G104088, PRINCIPAL GDC KHUNDIAN TUTION AND OTHER FEES -",1,435
 , , ,31/07/2017,Total,6,8400
 , , , ,"[I0202000005] HIMGRN:B17G122123, PRI GDC KHUNDIAN TUTION AND OTHER FEES -",1,3600
 , , , ,"[I0202000006] HIMGRN:B17G125495, PRI GDC KHUNDIAN TUTION AND OTHER FEES -",1,25
 , , , ,"[I0202000007] HIMGRN:B17G136544, PRI GDC KHUNDIAN TUTION AND OTHER FEES -",1,3450
 , , , ,"[I0202000008] HIMGRN:B17G142459, PRIN GDC KHUNDIAN TUTION AND OTHER FEES -",1,675
 , , , ,"[I0202000009] HIMGRN:B17G143980, PRIN GDC KHUNDIAN TUTION AND OTHER FEES -",1,325
 , , , ,"[I0202000010] HIMGRN:B17G145852, PRIN GDC KHUNDIAN TUTION AND OTHER FEES -",1,325
 , , ,31/10/2017,Total,1,100
 , , , ,"[L0202000004] HIMGRN:B17J114688, PRIN GDC KHUNDIAN TUTION AND OTHER FEES -",1,100
 , , ,30/11/2017,Total,2,39830
 , , , ,"[M0202000005] HIMGRN:B17K121926, PRIN GDC KHUNDIAN TUTION AND OTHER FEES -",1,13480
 , , , ,"[M0202000006] HIMGRN:B17K128901, PRIN GDC KHUNDIAN TUTION AND OTHER FEES -",1,26350
 , , ,08/12/2017,Total,1,2320
 , , , ,"[N0202000001] HIMGRN:B17L106056, PRIN GDC KHUNDIAN TUTION AND OTHER FEES -",1,2320
 , , ,30/12/2017,Total,1,320
 , , , ,"[N0202000008] HIMGRN:B17L124640, PRINCIPAL GDC KHUNDIAN TUTION AND OTHER FEES -",1,320
 , , ,30/06/2018,Total,1,27775
 , , , ,"[H0202000005] HIMGRN:B18F142023, PRINCIPAL GC KHUNDIAN TUTION AND OTHER FEES -",1,27775
 , , ,16/07/2018,Total,1,24200
 , , , ,"[I0202000003] HIMGRN:B18G108839, PRINCIPAL GC KHUNDIAN TUTION AND OTHER FEES -",1,24200
 , , ,31/07/2018,Total,1,4175
 , , , ,"[I0202000007] HIMGRN:B18G143399, PRINCIPAL GC KHUNDIAN TUTION AND OTHER FEES -",1,4175
 , , ,31/08/2018,Total,1,325
 , , , ,"[J0202000005] HIMGRN:B18H130462, PRINCIPAL GC KHUNDIAN TUTION AND OTHER FEES -",1,325
 , ,0202-01-103-02-MISCELLANEOUS RECEIPTS,Total, ,1,300
 , , ,08/12/2017,Total,1,300
 , , , ,"[N0202000002] HIMGRN:B17L107497, PRIN GDC KHUNDIAN MISCELLANEOUS RECEIPTS -",1,300
