DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,7,4040
KNG08-209-PRINCIPAL GSSS ALOH,Total, , , ,7,4040
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,7,4040
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,7,4040
 , , ,29/04/2017,Total,1,1190
 , , , ,"[F0202000008] HIMGRN:B17D156064, DDO GSSS ALOH TUITION AND OTHER FEES -",1,1190
 , , ,31/05/2017,Total,1,5
 , , , ,"[G0202000007] HIMGRN:B17E116457, DDO GSSS ALOH TUITION AND OTHER FEES -",1,5
 , , ,30/06/2017,Total,1,585
 , , , ,"[H0202000009] HIMGRN:B17F130053, DDO GSSS ALOH TUITION AND OTHER FEES -TUITION FEE",1,585
 , , ,26/10/2017,Total,1,540
 , , , ,"[L0202000006] HIMGRN:B17J118541, DDO GSSS ALOH TUITION AND OTHER FEES -tuition fee",1,540
 , , ,30/01/2018,Total,1,545
 , , , ,"[C0202000005] HIMGRN:B18A129697, DDO TUITION AND OTHER FEES -Tuition fee 540 and SLC 5 rupee",1,545
 , , ,11/05/2018,Total,1,1170
 , , , ,"[G0202000003] HIMGRN:B18E103313, DDO TUITION AND OTHER FEES -",1,1170
 , , ,31/05/2018,Total,1,5
 , , , ,"[G0202000009] HIMGRN:B18E139027, DDO ALOH TUITION AND OTHER FEES -admission fee",1,5
