DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,14,172042
KNG09-215-BEEO BAIJNATH,Total, , , ,14,172042
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,50
 , ,0070-60-800-05-MISCELLANEOUS RECEIPTS,Total, ,1,50
 , , ,30/11/2017,Total,1,50
 , , , ,"[M0070000001] HIMGRN:B17K113353, BEEO BAIJNATH MISCELLANEOUS RECEIPTS -",1,50
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,11,121634
 , ,0202-01-101-04-MISCELLANEOUS RECEIPTS,Total, ,1,62492
 , , ,08/12/2017,Total,1,62492
 , , , ,"[N0202000003] HIMGRN:B17L102535, BEEO BAIJNATH MISCELLANEOUS RECEIPTS -ROP",1,62492
 , ,0202-01-101-05-RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUION MAMANGEMENT,Total, ,6,3000
 , , ,30/01/2018,Total,1,500
 , , , ,"[C0202000011] HIMGRN:B18A140146, NAVYUG MODEL PUBLIC SCHOOL RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal fees of Private Sc",1,500
 , , ,22/02/2018,Total,4,2000
 , , , ,"[D0202000008] HIMGRN:B18B117092, PRINCIPAL CRAYONS WORLD SCHOOL RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal Affiliation Fee",1,500
 , , , ,"[D0202000010] HIMGRN:B18B118014, PRINCIPAL SURYA PUBLIC SCHOOL RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -",1,500
 , , , ,"[D0202000011] HIMGRN:B18B117195, PRINCIPAL LITTLE ANGEL PUBLIC SCHOOL RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal Of Affiliation",1,500
 , , , ,"[D0202000012] HIMGRN:B18B119957, PRINCIPAL DHAULADHAR PUBLIC SCHOOL RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal Of Affiliation fee",1,500
 , , ,28/02/2018,Total,1,500
 , , , ,"[D0202000014] HIMGRN:B18B124761, PRINCIPAL HIM PUBLIC SCHOOL RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal of Affiliation",1,500
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,2,2142
 , , ,30/01/2018,Total,1,141
 , , , ,"[C0202000012] HIMGRN:B18A140375, KISHORI LAL RETD BEEO RECOVERIES OF OVER PAYMENT -Over Payment recovered from Kishori Lal BEEO",1,141
 , , ,24/05/2018,Total,1,2001
 , , , ,"[G0202000016] HIMGRN:B18E126018, KISHORI LAL RECOVERIES OF OVER PAYMENT -Overpayment of MR Bill in r/o Late Sh. Kishori Lal",1,2001
 , ,0202-01-600-03-MISCELLANEOUS RECEIPTS,Total, ,2,54000
 , , ,30/06/2017,Total,1,29000
 , , , ,"[H0202000018] HIMGRN:B17F127473, HEADTEACHER GPS KUKAINA MISCELLANEOUS RECEIPTS -Money received after auction of unsafe school building of GPS Kukaina",1,29000
 , , ,28/02/2018,Total,1,25000
 , , , ,"[D0202000017] HIMGRN:B18B135946, HEAD TEACHER OF GPS BARA BHANGAL MISCELLANEOUS RECEIPTS -Auction money of Dismantal Building of GPS Bara Bhangal",1,25000
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,2,50358
 , ,0235-60-800-01-MISC.RECEIPT ON A/C OF UNSPENT BALANCE,Total, ,2,50358
 , , ,30/01/2018,Total,1,20358
 , , , ,"[C0235000001] HIMGRN:B18A137259, SATYA PAUL SHARMA MISC.RECEIPT ON A/C OF UNSPENT BALANCE -RETURN OF THE AMOUNT OF M.R. VIDE BILL 249/19.03.15",1,20358
 , , ,22/02/2018,Total,1,30000
 , , , ,"[D0235000002] HIMGRN:B18B118142, SATYA PAL SHARMA MISC.RECEIPT ON A/C OF UNSPENT BALANCE -RETURN OF AMOUNT UNITRON MOXI 2 DURA 10 RIC FULLY DIGITAL HE",1,30000
