DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,12,8860
KNG10-206-PR.GSSS.KOTLOO,Total, , , ,12,8860
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,12,8860
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,10,6800
 , , ,31/05/2017,Total,3,2110
 , , , ,"[G0202000003] HIMGRN:B17D174720, PRINCIPAL GSSS KOTLOO TUITION AND OTHER FEES -Tuition and other fees",1,65
 , , , ,"[G0202000004] HIMGRN:B17D170777, PRINCIPAL GSSS KOTLOO TUITION AND OTHER FEES -Tuition and fees",1,1715
 , , , ,"[G0202000017] HIMGRN:B17E128245, PRINCIPAL GSSS KOTLOO TUITION AND OTHER FEES -Tuition and other fees",1,330
 , , ,31/08/2017,Total,1,870
 , , , ,"[J0202000007] HIMGRN:B17H123509, PRINCIPAL GSSS KOTLOO TUITION AND OTHER FEES -Tuition and other fees",1,870
 , , ,31/10/2017,Total,2,975
 , , , ,"[L0202000014] HIMGRN:B17J134799, PRINCIPAL GSSS KOTLOO TUITION AND OTHER FEES -Tuition Fee etc.",1,105
 , , , ,"[L0202000015] HIMGRN:B17J134831, PRINCIPAL GSSS KOTLOO TUITION AND OTHER FEES -Tuition Fee etc.",1,870
 , , ,27/04/2018,Total,1,1635
 , , , ,"[F0202000013] HIMGRN:B18D167747, PRINCIPAL GSSS KOTLU TUITION AND OTHER FEES -Depositing of admission, tuition and other fees",1,1635
 , , ,24/05/2018,Total,1,405
 , , , ,"[G0202000011] HIMGRN:B18E118158, PRINCIPAL TUITION AND OTHER FEES -TUITION AND OTHER FEES PAYMENT",1,405
 , , ,31/05/2018,Total,1,85
 , , , ,"[G0202000024] HIMGRN:B18E148389, PRINCIPAL TUITION AND OTHER FEES -Payment of tuition and other fees",1,85
 , , ,16/07/2018,Total,1,720
 , , , ,"[I0202000003] HIMGRN:B18F146225, PRINCIPAL TUITION AND OTHER FEES -",1,720
 , ,0202-01-103-01-TUTION AND OTHER FEES,Total, ,1,860
 , , ,20/01/2018,Total,1,860
 , , , ,"[C0202000009] HIMGRN:B18A118563, PRINCIPAL GSSS KOTLU TUTION AND OTHER FEES -Tuition fee and others for the quarter ending Mar 2018",1,860
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,1200
 , , ,31/05/2018,Total,1,1200
 , , , ,"[G0202000023] HIMGRN:B18E140737, PRINCIPAL RECOVERIES OF OVER PAYMENT -ROP of HRA in r/o Sh. Arvind Dhadwal PGT Maths. w.e.f 05/2016 to 05/2017",1,1200
