DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,10,36858
KNG13-208-PR.GSSS BALLAH,Total, , , ,10,36858
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,100
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,100
 , , ,30/06/2017,Total,1,100
 , , , ,"[H0070000004] HIMGRN:B17F130272, PRINCIPAL GSSS BALLAH RECEIPT FROM RIGHT TO INFORMATION ACT -",1,100
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,9,36758
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,7,15585
 , , ,29/04/2017,Total,1,2135
 , , , ,"[F0202000002] HIMGRN:B17D156178, PRINCIPAL GSSS BALLAH TUITION AND OTHER FEES -Tution and admission fee",1,2135
 , , ,31/05/2017,Total,1,2075
 , , , ,"[G0202000008] HIMGRN:B17E133728, PRINCIPAL GSSS BALLAH TUITION AND OTHER FEES -",1,2075
 , , ,31/08/2017,Total,1,2120
 , , , ,"[J0202000005] HIMGRN:b17h116303, PRINCIPAL GSSS BALLAH TUITION AND OTHER FEES -Tuition Fees And Other Fee",1,2120
 , , ,20/12/2017,Total,1,2120
 , , , ,"[N0202000005] HIMGRN:B17L112962, PRINCIPAL GSSS BALLAH TUITION AND OTHER FEES -",1,2120
 , , ,22/02/2018,Total,1,2120
 , , , ,"[D0202000002] HIMGRN:b18b115447, PRINCIPAL GSSS BALLAH TUITION AND OTHER FEES -",1,2120
 , , ,24/05/2018,Total,1,3215
 , , , ,"[G0202000006] HIMGRN:b18e119427, PRINCIPAL GSSS BALLAH TUITION AND OTHER FEES -TUTION AND OTHER FEES",1,3215
 , , ,31/08/2018,Total,1,1800
 , , , ,"[J0202000006] HIMGRN:B18H136570, PRINCIPAL GSSS BALLAH TUITION AND OTHER FEES -",1,1800
 , ,0202-01-600-03-MISCELLANEOUS RECEIPTS,Total, ,2,21173
 , , ,30/01/2018,Total,2,21173
 , , , ,"[C0202000002] HIMGRN:B18A102918, PR GSSS BALLAH MISCELLANEOUS RECEIPTS -AUCTION OF OLD BUILDING MATERIAL",1,14823
 , , , ,"[C0202000013] HIMGRN:b18a136687, PRINCIPAL GSSS BALLAH MISCELLANEOUS RECEIPTS -Auction of building material",1,6350
