DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,5,6875
KNG14-207-GSSS RAJIANA BAANDH,Total, , , ,5,6875
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,5,6875
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,5,6875
 , , ,21/06/2017,Total,1,1985
 , , , ,"[H0202000002] HIMGRN:B17E147966, PRINCIPAL GSSS RAJIANABANDH TUITION AND OTHER FEES -",1,1985
 , , ,31/08/2017,Total,1,1095
 , , , ,"[J0202000014] HIMGRN:B17H114574, PRINCIPAL GSSS RAJIANA BANDH TUITION AND OTHER FEES -",1,1095
 , , ,20/12/2017,Total,1,1120
 , , , ,"[N0202000002] HIMGRN:B17L105852, PRINCIPAL GSSS RAJIANA BANDH TUITION AND OTHER FEES -",1,1120
 , , ,22/02/2018,Total,1,1090
 , , , ,"[D0202000004] HIMGRN:B18B115304, PRINCIPAL GSSS RAJIANA BANDH TUITION AND OTHER FEES -",1,1090
 , , ,24/05/2018,Total,1,1585
 , , , ,"[G0202000012] HIMGRN:B18E128310, PRINCIPAL GSSS RAJIANA BANDH TUITION AND OTHER FEES -",1,1585
