DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,13,369269
KNG15-200-PRINCIPAL ITI SHAHPUR,Total, , , ,13,369269
 ,0230-LABOUR & EMPLOYMENT,Total, , ,13,369269
 , ,0230-00-800-06-€RECOVERY OF OVER PAYMENT TECHNICAL EDUCATION,Total, ,1,300
 , , ,20/08/2018,Total,1,300
 , , , ,"[J0230000001] HIMGRN:B18H104558, PRINCIPAL ITI SHAHPUR RECOVERY OF OVER PAYMENT TECHNICAL EDUCATION -Recovery of over payment MRC vide TR5 No 264992",1,300
 , ,0230-00-800-08-OTHER MISC.RECEIPTS- TECHNICAL EDUCATION,Total, ,12,368969
 , , ,24/05/2018,Total,2,9855
 , , , ,"[G0230000001] HIMGRN:B18E119748, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Processng fee of Pvt Trainees vide TR5 No 264985 264986 26",1,4500
 , , , ,"[G0230000002] HIMGRN:B18E120976, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen Rent Feb 01.03.2018 to 20.03.2018 Rs:1290/-(2000/-",1,5355
 , , ,31/05/2018,Total,1,596
 , , , ,"[G0230000003] HIMGRN:B18E135769, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Licence Fee for Type. II wef 01.03.18 to 19.05.18",1,596
 , , ,21/06/2018,Total,1,6000
 , , , ,"[H0230000001] HIMGRN:B18F119981, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Sale of Tender forms on a/c Procurement of Mild Steel Angl",1,6000
 , , ,30/06/2018,Total,1,3000
 , , , ,"[H0230000002] HIMGRN:B18F130828, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Canteen Rent for May 2018 vide TR5 No 264991",1,3000
 , , ,25/07/2018,Total,2,195600
 , , , ,"[I0230000001] HIMGRN:B18G111881, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission fee 1st round session 2018-19 under IMC",1,33200
 , , , ,"[I0230000002] HIMGRN:B18G111773, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission Tuition Fee 1st round of admission 2018-19",1,162400
 , , ,31/07/2018,Total,2,76200
 , , , ,"[I0230000003] HIMGRN:B18G128485, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -admission tuition fee 2nd round admission session 2018-19",1,59000
 , , , ,"[I0230000004] HIMGRN:B18G128501, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -admission fee 2nd round admission session 2018-19 under IM",1,17200
 , , ,20/08/2018,Total,2,77400
 , , , ,"[J0230000002] HIMGRN:B18H113533, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission Fee 3rd round admission session 2018-19",1,13800
 , , , ,"[J0230000003] HIMGRN:B18H113523, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission, Tuition Fee, Hostel rent for 3rd round admissio",1,63600
 , , ,31/08/2018,Total,1,318
 , , , ,"[J0230000004] HIMGRN:B18H139317, PRINCIPAL ITI SHAHPUR OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Licence fee for June 18 to Aug 18 vide TR5 No 264993",1,318
