DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,4,59016
KNR00-518-TEHSILDAR ELECTION KINNAUR,Total, , , ,4,59016
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,4,59016
 , ,0070-02-101-01-SALE PROCEED OF ELECTION FORMS AND DOCUMENTS BY ELECTION DEPARTMENT,Total, ,1,2568
 , , ,05/05/2017,Total,1,2568
 , , , ,"[G0070000003] HIMGRN:B17E111271, TEHSILDAR (ELECTION) SALE PROCEED OF ELECTION FORMS AND DOCUMENTS BY ELECTION DEPARTMENT -",1,2568
 , ,0070-02-104-01-FEES FINE FOREFEATURES BY ELECTION DEPTT,Total, ,1,35886
 , , ,28/03/2018,Total,1,35886
 , , , ,"[E0070000028] HIMGRN:B18C154637, TEHSILDAR(ELECTION) FEES FINE FOREFEATURES BY ELECTION DEPTT -",1,35886
 , ,0070-02-104-02-FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION,Total, ,1,8000
 , , ,23/06/2017,Total,1,8000
 , , , ,"[H0070000020] HIMGRN:B17F135351, TEHSILDAR ELECTION KINNAUR FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION -Fees Fine duplicate EPIC received ERO",1,8000
 , ,0070-02-800-02-MISCELLANEOUS RECEIPTS BY ELECTION DEPTT,Total, ,1,12562
 , , ,23/06/2017,Total,1,12562
 , , , ,"[H0070000021] HIMGRN:B17F135275, TEHSILDAR ELECTION KINNAUR MISCELLANEOUS RECEIPTS BY ELECTION DEPTT -Sale proceed of old news papers and election forms etc",1,12562
