DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,14,3112
KNR00-522-DISTT AYURVEDIA OFFICER KALPA,Total, , , ,14,3112
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,20
 , ,0070-60-800-05-MISCELLANEOUS RECEIPTS,Total, ,1,20
 , , ,06/06/2017,Total,1,20
 , , , ,"[H0070000007] HIMGRN:B17F108584, DISTT AYURVEDIC OFFICER MISCELLANEOUS RECEIPTS -",1,20
 ,0210-MEDICAL & PUBLIC HEALTH,Total, , ,11,2624
 , ,0210-01-800-02-RECOVERY OF OVER PAYMENTS - AYURVEDA,Total, ,3,862
 , , ,26/03/2018,Total,1,10
 , , , ,"[E0210000015] HIMGRN:B18C143123, DISTT AYURVEDIC OFFICER KINNAUR RECOVERY OF OVER PAYMENTS - AYURVEDA -",1,10
 , , ,07/08/2018,Total,1,560
 , , , ,"[J0210000006] HIMGRN:B18H109785, DISTT AYURVEDIC OFFICER RECOVERY OF OVER PAYMENTS - AYURVEDA -dead stock fee charges ahc ramani kinnaur",1,560
 , , ,16/08/2018,Total,1,292
 , , , ,"[J0210000009] HIMGRN:B18H120311, DISTT AYURVEDIC OFFICER RECOVERY OF OVER PAYMENTS - AYURVEDA -",1,292
 , ,0210-02-800-02-RECOVERIES OF OVER PAYMENT - AYURVEDA,Total, ,7,1612
 , , ,26/09/2017,Total,1,290
 , , , ,"[K0210000009] HIMGRN:B17I132055, DISTT AYURVEDIC OFFICER RECOVERIES OF OVER PAYMENT - AYURVEDA -dead stock recoveries deposition",1,290
 , , ,17/11/2017,Total,1,30
 , , , ,"[M0210000004] HIMGRN:B17K115694, DISTT AYURVEDIC OFFICER KINNAUR AT RECKONH PEO RECOVERIES OF OVER PAYMENT - AYURVEDA -",1,30
 , , ,23/11/2017,Total,1,280
 , , , ,"[M0210000007] HIMGRN:B17K122679, DISTT AYURVEDIC OFFICER RECKONG PEO RECOVERIES OF OVER PAYMENT - AYURVEDA -over paymner of mrc claim in r/o sh sita ram retired employee",1,280
 , , ,05/12/2017,Total,1,40
 , , , ,"[N0210000001] HIMGRN:B17L105130, DISTT AYURVEDIC OFFICER KINNAUR RECOVERIES OF OVER PAYMENT - AYURVEDA -ipos value to the tune of rupees forty for rti",1,40
 , , ,03/01/2018,Total,1,50
 , , , ,"[C0210000002] HIMGRN:B18A104461, DISTT AYURVEDIC OFFICER RECOVERIES OF OVER PAYMENT - AYURVEDA -",1,50
 , , ,28/05/2018,Total,1,10
 , , , ,"[G0210000028] HIMGRN:B18E147579, DISTT AYURVEDIC OFFICER RECOVERIES OF OVER PAYMENT - AYURVEDA -",1,10
 , , ,07/08/2018,Total,1,912
 , , , ,"[J0210000005] HIMGRN:B18H109726, DISTT AYURVEDIC OFFICER RECOVERIES OF OVER PAYMENT - AYURVEDA -",1,912
 , ,0210-02-800-08-SALE PROCEEDS OF DEAD STOCK - AYURVEDA,Total, ,1,150
 , , ,15/06/2018,Total,1,150
 , , , ,"[H0210000011] HIMGRN:B18F123681, DISTT AYURVEDIC SALE PROCEEDS OF DEAD STOCK - AYURVEDA -",1,150
 ,0216-HOUSING,Total, , ,1,388
 , ,0216-01-106-03-RECEIPT FROM ESTATE OFFICE,Total, ,1,388
 , , ,15/06/2018,Total,1,388
 , , , ,"[H0216000004] HIMGRN:B18F123730, DISTT AYURVEDIC RECEIPT FROM ESTATE OFFICE -",1,388
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,1,80
 , ,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,Total, ,1,80
 , , ,06/12/2017,Total,1,80
 , , , ,"[N0235000008] HIMGRN:B17L106629, DISTT AYURVEDIC OFFICER KINNAUR INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -annual group insurance scheme deduction of ru",1,80
