DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,13,90090
KNR03-650-XEN B&R DIVISION KALPA,Total, , , ,13,90090
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,3,530
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,2,510
 , , ,31/03/2018,Total,1,370
 , , , ,[E0070000003] AE PWD MOORANG RTI SH SANDEEP KUMAR REC,1,370
 , , ,31/08/2018,Total,1,140
 , , , ,[J0070000001] SH DHANBHADUR SO BHIMA BHADUR AND CHANPI DEVI REC,1,140
 , ,0070-60-800-11-RECEIPT FROM RIGHT TO INFORMATION ACT.,Total, ,1,20
 , , ,30/06/2017,Total,1,20
 , , , ,[H0070000002] AE PWD MOORANG RECEIPTS,1,20
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,10,89560
 , ,8782-00-102-00- ,Total, ,10,89560
 , , ,29/04/2017,Total,1,2490
 , , , ,[F8782000001] AE MOORANG SUB DIVI PWD MOORANG RECEIPTS,1,2490
 , , ,31/05/2017,Total,1,2400
 , , , ,[G8782000002] A E HP PWD MOORANG RECEIPTS,1,2400
 , , ,31/07/2017,Total,1,4000
 , , , ,[I8782000002] A E MOORANG SUB DIVISION HPWD RECEIPTS,1,4000
 , , ,31/08/2017,Total,1,7280
 , , , ,[J8782000002] AE MOORANG SUB DIVI PWD MOORANG RECEIPTS,1,7280
 , , ,29/09/2017,Total,1,6320
 , , , ,[K8782000002] AE MOORANG SUB DIVISION PWD MOORANG RECEIPTS,1,6320
 , , ,31/10/2017,Total,1,19250
 , , , ,[L8782000002] AE PWD MOORANG REC,1,19250
 , , ,30/11/2017,Total,1,2000
 , , , ,[M8782000002] AE PWD MOORANG REC,1,2000
 , , ,06/03/2018,Total,1,4000
 , , , ,[E8782000001] AE PWD MOORANG REC,1,4000
 , , ,31/03/2018,Total,1,34690
 , , , ,[E8782000003] AE PWD MOORANG REC,1,34690
 , , ,29/05/2018,Total,1,5030
 , , , ,[G8782000002] AE HPPWD SUB DIVN. MISC RECEIPT,1,5030
 , , ,27/07/2018,Total,1,2100
 , , , ,[I8782000001] A E PWD MOORANG REC,1,2100
