DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,4,2240
KNR04-207-GSSS  CHAGAON,Total, , , ,4,2240
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,4,2240
 , ,0202-01-101-05-RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUION MAMANGEMENT,Total, ,1,500
 , , ,31/03/2018,Total,1,500
 , , , ,"[E0202000010] HIMGRN:B18C160757, BIND RAM VERMA RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -RENEWAL FEE",1,500
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,3,140
 , , ,30/06/2017,Total,1,10
 , , , ,"[H0202000006] HIMGRN:B17F129600, HM GHS CHHOLTU TUITION AND OTHER FEES -Addmission fee= 10/-",1,10
 , , ,27/04/2018,Total,1,110
 , , , ,"[F0202000006] HIMGRN:B18D163661, HEADMATER TUITION AND OTHER FEES -",1,110
 , , ,30/06/2018,Total,1,20
 , , , ,"[H0202000005] HIMGRN:B18F141163, HMGHS CHHOLTU TUITION AND OTHER FEES -SLC IN RESPECT OF GHS CHHOLTU",1,20
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,1,1600
 , , ,30/06/2018,Total,1,1600
 , , , ,"[H0202000006] HIMGRN:B18F141146, HMGHS CHHOLTU MISCELLANEOUS RECEIPTS -AUCTION OF SCHOOL PROPERTIES",1,1600
