DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,7,3900
KZA00-202-PR GSSS RANGRIK,Total, , , ,7,3900
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,7,3900
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,5,500
 , , ,08/09/2017,Total,2,230
 , , , ,"[K0202000003] HIMGRN:B17I100986, PRINCIPAL GSSS RANGRIK TUITION AND OTHER FEES -",1,65
 , , , ,"[K0202000004] HIMGRN:B17I100981, PRINCIPAL GSSS RANGRIK TUITION AND OTHER FEES -",1,165
 , , ,26/12/2017,Total,1,90
 , , , ,"[N0202000004] HIMGRN:b17l128016, PRINCIPAL GSSS RANGRIK TUITION AND OTHER FEES -",1,90
 , , ,08/03/2018,Total,1,90
 , , , ,"[E0202000002] HIMGRN:b18c110941, PRINCIPAL GSSS RANGRIK TUITION AND OTHER FEES -",1,90
 , , ,28/05/2018,Total,1,90
 , , , ,"[G0202000009] HIMGRN:b18e148150, PRINCIPAL GSSS RANGRIK TUITION AND OTHER FEES -TUITION AND OTHER FEES",1,90
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,2,3400
 , , ,28/05/2018,Total,2,3400
 , , , ,"[G0202000008] HIMGRN:b18e148579, PRINCIPAL GSSS RANGRIK RECOVERIES OF OVER PAYMENT -",1,405
 , , , ,"[G0202000010] HIMGRN:b18e148685, PRINCIPAL GSSS RANGRIK RECOVERIES OF OVER PAYMENT -",1,2995
