DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,7,44700
LHL00-529-DISTT.FOOD & SUPPLY CONTROLLER KEYLONG,Total, , , ,7,44700
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,1500
 , ,0070-60-800-09-RECEIPT FROM FINES UNDER NON-BIODEGRADABLE GARBAGE(CONTROL) ACT.,Total, ,1,1500
 , , ,30/01/2018,Total,1,1500
 , , , ,"[C0070000027] HIMGRN:B18A137883, DFSC LAHAUL AT KEYLONG RECEIPT FROM FINES UNDER NON-BIODEGRADABLE GARBAGE(CONTROL) ACT. -",1,1500
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,6,43200
 , ,0235-01-800-01-RECEIPTS FROM FEES AND FINES ETC,Total, ,6,43200
 , , ,11/07/2017,Total,1,500
 , , , ,"[I0235000001] HIMGRN:B17G107483, RAMESH KUMAR DEPOT HOLDER THOLANG RECEIPTS FROM FEES AND FINES ETC -",1,500
 , , ,20/01/2018,Total,3,33650
 , , , ,"[C0235000002] HIMGRN:B18A121650, DFSC LAHAUL AT KEYLONG RECEIPTS FROM FEES AND FINES ETC -",1,12400
 , , , ,"[C0235000003] HIMGRN:B18A121670, DFSC LAHAUL AT KEYLONG RECEIPTS FROM FEES AND FINES ETC -",1,15200
 , , , ,"[C0235000004] HIMGRN:B18A121623, DFSC LAHAUL AT KEYLONG RECEIPTS FROM FEES AND FINES ETC -",1,6050
 , , ,12/04/2018,Total,1,8550
 , , , ,"[F0235000001] HIMGRN:B18D120563, INCHARGE TKD KARGHA RECEIPTS FROM FEES AND FINES ETC -",1,8550
 , , ,05/06/2018,Total,1,500
 , , , ,"[H0235000001] HIMGRN:B18F103062, VIRENDER S/O LATE BHURI SINGH RECEIPTS FROM FEES AND FINES ETC -",1,500
