DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,7,113851
LHL01-200-GSSS TINDI,Total, , , ,7,113851
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,3,61500
 , ,0070-60-800-05-MISCELLANEOUS RECEIPTS,Total, ,3,61500
 , , ,29/04/2017,Total,1,30750
 , , , ,"[F0070000007] HIMGRN:B17D158141, PRI TINDI MISCELLANEOUS RECEIPTS -helicopter charges",1,30750
 , , ,30/01/2018,Total,1,16500
 , , , ,"[C0070000004] HIMGRN:B18A129632, PRINCIPAL MISCELLANEOUS RECEIPTS -flight charges boarded from tindi to bhunter",1,16500
 , , ,31/03/2018,Total,1,14250
 , , , ,"[E0070000009] HIMGRN:B18C146359, PRI TINDI MISCELLANEOUS RECEIPTS -FLIGHT CHARGES FROM TINDI TO BHUNTER",1,14250
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,3,52271
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,1,4540
 , , ,29/04/2017,Total,1,4540
 , , , ,"[F0202000010] HIMGRN:B17D158437, PRI TINDI TUITION AND OTHER FEES -TUITION FEE AND ADMISSION FEE AND OTHER",1,4540
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,1,31
 , , ,27/04/2018,Total,1,31
 , , , ,"[F0202000031] HIMGRN:b18d154436, PR GSSS TINDI MISCELLANEOUS RECEIPTS -miscellneous receipt",1,31
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,47700
 , , ,30/12/2017,Total,1,47700
 , , , ,"[N0202000004] HIMGRN:B17L129266, PRINCIPALGSSSTINDI RECOVERIES OF OVER PAYMENT -RECOVERIES OF OVER PAYMENT OF SH. YOGENDER KUMAR DAILY WAGES GSSS TINDI",1,47700
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,1,80
 , ,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,Total, ,1,80
 , , ,30/12/2017,Total,1,80
 , , , ,"[N0235000002] HIMGRN:B17L129201, YOGENDER KUMAR INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -GEIS",1,80
