DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,21,13771
MDI00-237-GSSS SADIANA,Total, , , ,21,13771
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,21,13771
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,16,9045
 , , ,13/04/2017,Total,1,115
 , , , ,"[F0202000010] HIMGRN:B17D120750, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,115
 , , ,29/04/2017,Total,1,460
 , , , ,"[F0202000145] HIMGRN:B17D173055, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,460
 , , ,09/05/2017,Total,1,1725
 , , , ,"[G0202000083] HIMGRN:B17E115491, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,1725
 , , ,20/05/2017,Total,1,240
 , , , ,"[G0202000112] HIMGRN:B17E134213, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,240
 , , ,11/08/2017,Total,1,1125
 , , , ,"[J0202000032] HIMGRN:B17H114433, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,1125
 , , ,10/10/2017,Total,1,1125
 , , , ,"[L0202000013] HIMGRN:B17J113194, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,1125
 , , ,08/12/2017,Total,1,5
 , , , ,"[N0202000027] HIMGRN:B17L107813, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,5
 , , ,10/01/2018,Total,1,1125
 , , , ,"[C0202000057] HIMGRN:B18A115003, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,1125
 , , ,10/04/2018,Total,1,510
 , , , ,"[F0202000018] HIMGRN:B18D129428, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,510
 , , ,20/04/2018,Total,1,1020
 , , , ,"[F0202000028] HIMGRN:B18D152087, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,1020
 , , ,27/04/2018,Total,1,260
 , , , ,"[F0202000178] HIMGRN:B18D173505, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,260
 , , ,10/05/2018,Total,1,200
 , , , ,"[G0202000022] HIMGRN:B18E119262, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,200
 , , ,19/05/2018,Total,1,20
 , , , ,"[G0202000120] HIMGRN:B18E132885, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,20
 , , ,08/06/2018,Total,1,65
 , , , ,"[H0202000009] HIMGRN:B18F112240, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,65
 , , ,20/06/2018,Total,1,5
 , , , ,"[H0202000038] HIMGRN:B18F129608, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,5
 , , ,10/08/2018,Total,1,1045
 , , , ,"[J0202000040] HIMGRN:B18H111997, PRINCIPAL GSSS SADIANA TUITION AND OTHER FEES -",1,1045
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,1,1000
 , , ,09/02/2018,Total,1,1000
 , , , ,"[D0202000029] HIMGRN:B18B112126, PRINCIPAL GSSS SADIANA MISCELLANEOUS RECEIPTS -",1,1000
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,3,3526
 , , ,20/06/2017,Total,1,200
 , , , ,"[H0202000068] HIMGRN:B17F128166, PRINCIPAL GSSS SADIANA RECOVERIES OF OVER PAYMENT -Over payment of HRA to Sh. Jasveer Singh TGT Non-Medical GSSS Sadiana at",1,200
 , , ,14/11/2017,Total,1,2166
 , , , ,"[M0202000033] HIMGRN:B17K110201, PRINCIPAL GSSS SADIANA RECOVERIES OF OVER PAYMENT -Recovery of over payment of Salary in r/o Sh. Anirudh Thakur (PGT Englis",1,2166
 , , ,10/08/2018,Total,1,1160
 , , , ,"[J0202000041] HIMGRN:B18H113682, PRINCIPAL GSSS SADIANA RECOVERIES OF OVER PAYMENT -Recovery of over payment of MR Bill, No. 100070 dated 01/12/2017 (Bill N",1,1160
 , ,0202-01-600-03-MISCELLANEOUS RECEIPTS,Total, ,1,200
 , , ,18/08/2017,Total,1,200
 , , , ,"[J0202000043] HIMGRN:B17H120562, PRINCIPAL GSSS SADIANA MISCELLANEOUS RECEIPTS -Auction of unserviceable iron goods.",1,200
