DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,4,23000000
MDI01-620-EE HPPWD DIVISION DHARAMSHALA,Total, , , ,4,23000000
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,4,23000000
 , ,8782-00-102-00- ,Total, ,4,23000000
 , , ,29/09/2017,Total,2,15000000
 , , , ,"[K8782000074] HIMGRN:B17I127693, DIRECTOR OF TECHNICAL EDUCATION PUBLIC WORKS REMITTANCES -sanction for construction of building for state of art industrial training",1,10000000
 , , , ,"[K8782000075] HIMGRN:B17I127733, DIRECTOR OF TECHNICAL EDUCATION PUBLIC WORKS REMITTANCES -SANCTION FOR CONSTRUCTION OF HOSTEL BUILDING OF RAJEEV GANDHI GOVT. ENGINE",1,5000000
 , , ,08/11/2017,Total,1,5000000
 , , , ,"[M8782000001] HIMGRN:B17J131897, DIRECTOR OF TECHNICAL EDUCATION PUBLIC WORKS REMITTANCES -sanction for construction of hostel building of Rajeev Gandhi Govt. Engg.",1,5000000
 , , ,09/08/2018,Total,1,3000000
 , , , ,"[J8782000001] HIMGRN:B18G143878, DIRECTOR OF TECHNICAL EDUCATION PUBLIC WORKS REMITTANCES -sanction for construction of building of iti nagrota bagwan distt. kangra.",1,3000000
