DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,3,130
MDI02-254-HM GHS MANARU,Total, , , ,3,130
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,3,130
 , ,0070-02-104-02-FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION,Total, ,2,120
 , , ,22/06/2017,Total,1,60
 , , , ,"[H0070000006] HIMGRN:B17F107453, HEADMASTER GHS MANARU FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION -ADD FEE 9 NO AND SLC 3 NO",1,60
 , , ,10/05/2018,Total,1,60
 , , , ,"[G0070000003] HIMGRN:B18D174660, HEADMASTER FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION -Adm fees and SLC fees",1,60
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,10
 , , ,31/03/2018,Total,1,10
 , , , ,"[E0070000024] HIMGRN:B18C162888, HEADMASTER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
