DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,4,840
MDI05-213-HM GHS KARSAL,Total, , , ,4,840
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,10
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,10
 , , ,27/06/2018,Total,1,10
 , , , ,"[H0070000001] HIMGRN:B18F137100, HEADMASTER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,3,830
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,2,130
 , , ,31/08/2017,Total,1,75
 , , , ,"[J0202000007] HIMGRN:B17H133156, LEKH RAJ TUITION AND OTHER FEES -",1,75
 , , ,27/06/2018,Total,1,55
 , , , ,"[H0202000006] HIMGRN:B18F137011, HEADMASTER TUITION AND OTHER FEES -",1,55
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,700
 , , ,31/08/2017,Total,1,700
 , , , ,"[J0202000006] HIMGRN:B17H133161, LEKH RAJ RECOVERIES OF OVER PAYMENT -",1,700
