DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,23,35137
MDI06-200-PR SSS  SANDHOL,Total, , , ,23,35137
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,6
 , ,0070-60-800-05-MISCELLANEOUS RECEIPTS,Total, ,1,6
 , , ,31/05/2017,Total,1,6
 , , , ,"[G0070000001] HIMGRN:B17E150177, PRINCIPAL MISCELLANEOUS RECEIPTS -Interest from OE Pass book",1,6
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,22,35131
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,21,34381
 , , ,29/04/2017,Total,2,7271
 , , , ,"[F0202000002] HIMGRN:B17D145487, PRINCIPAL GSSS SANDHOLE TUITION AND OTHER FEES -",1,2105
 , , , ,"[F0202000006] HIMGRN:B17D164426, PRINCIPAL GSSS SANDHOLE TUITION AND OTHER FEES -",1,5166
 , , ,08/05/2017,Total,1,623
 , , , ,"[G0202000001] HIMGRN:B17E100377, PRINCIPAL TUITION AND OTHER FEES -",1,623
 , , ,31/05/2017,Total,2,355
 , , , ,"[G0202000004] HIMGRN:B17E133905, PRINCIPAL TUITION AND OTHER FEES -",1,345
 , , , ,"[G0202000008] HIMGRN:B17E151389, PRINCIPAL TUITION AND OTHER FEES -SLC FEE AND ADD. FEE",1,10
 , , ,30/06/2017,Total,1,75
 , , , ,"[H0202000002] HIMGRN:B17F122704, PRINCIPAL TUITION AND OTHER FEES -ADD. FEE TUTION AND LATE FEE",1,75
 , , ,31/07/2017,Total,2,4255
 , , , ,"[I0202000004] HIMGRN:B17G121013, PRINCIPAL TUITION AND OTHER FEES -SLC AND TUTION FEE",1,4120
 , , , ,"[I0202000006] HIMGRN:B17G135133, PRINCIPAL TUITION AND OTHER FEES -TUITION FEE",1,135
 , , ,31/08/2017,Total,1,22
 , , , ,"[J0202000001] HIMGRN:B17H111053, PRINCIPAL TUITION AND OTHER FEES -late fee fine",1,22
 , , ,24/10/2017,Total,1,4105
 , , , ,"[L0202000003] HIMGRN:B17J114503, PRINCIPAL TUITION AND OTHER FEES -Tuetion fee and SLC fee",1,4105
 , , ,30/12/2017,Total,1,5
 , , , ,"[N0202000002] HIMGRN:B17L110268, PRINCIPAL TUITION AND OTHER FEES -ADDMISSION FEE",1,5
 , , ,30/01/2018,Total,1,4050
 , , , ,"[C0202000002] HIMGRN:B18A121360, PRINCIPAL TUITION AND OTHER FEES -tution fee and other fees",1,4050
 , , ,27/04/2018,Total,2,8105
 , , , ,"[F0202000001] HIMGRN:B18D137270, PRINCIPAL TUITION AND OTHER FEES -SLC TUITION AND ADMISSION FEE",1,1850
 , , , ,"[F0202000003] HIMGRN:B18D156875, PRINCIPAL TUITION AND OTHER FEES -ADD. AND TUITION FEE",1,6255
 , , ,10/05/2018,Total,1,400
 , , , ,"[G0202000001] HIMGRN:B18E101066, PRINCIPAL TUITION AND OTHER FEES -ADD.FEE LATE ADD.FEE TUETION FEE AND SLC FEE",1,400
 , , ,24/05/2018,Total,1,285
 , , , ,"[G0202000007] HIMGRN:B18E119819, PRINCIPAL TUITION AND OTHER FEES -late add. fee tuttion fee etc.",1,285
 , , ,29/05/2018,Total,1,220
 , , , ,"[G0202000009] HIMGRN:B18E135985, PRINCIPAL TUITION AND OTHER FEES -ADMISSION AND OTHER FEES",1,220
 , , ,30/06/2018,Total,1,85
 , , , ,"[H0202000003] HIMGRN:B18F117484, PRINCIPAL TUITION AND OTHER FEES -TUETION AND ADD SLC FEE",1,85
 , , ,31/07/2018,Total,3,4440
 , , , ,"[I0202000002] HIMGRN:B18G108933, GSSS KOTHUWAN TUITION AND OTHER FEES -Admission fee and tuition fees",1,460
 , , , ,"[I0202000003] HIMGRN:B18G112085, PRINCIPAL TUITION AND OTHER FEES -ADMISSION FEE ANN TUITION FEE",1,3970
 , , , ,"[I0202000004] HIMGRN:B18G114098, PRINCIPAL TUITION AND OTHER FEES -SLC FEE AND TUITION FEE",1,10
 , , ,31/08/2018,Total,2,85
 , , , ,"[J0202000002] HIMGRN:B18H115803, PRINCIPAL TUITION AND OTHER FEES -admission late add. slc and tuition fee",1,65
 , , , ,"[J0202000005] HIMGRN:B18H123241, PRINCIPAL TUITION AND OTHER FEES -LATE FEE FINE",1,20
 , ,0202-01-600-03-MISCELLANEOUS RECEIPTS,Total, ,1,750
 , , ,31/03/2018,Total,1,750
 , , , ,"[E0202000004] HIMGRN:B18C137610, PRINCIPAL MISCELLANEOUS RECEIPTS -value of scrap sale",1,750
