DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,8,10687
MDI09-210-GSSS HATAUN,Total, , , ,8,10687
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,8,10687
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,8,10687
 , , ,29/04/2017,Total,1,2325
 , , , ,"[F0202000006] HIMGRN:B17D154993, PRINCIPAL TUITION AND OTHER FEES -TUITION AND OTHER FEES",1,2325
 , , ,22/06/2017,Total,1,95
 , , , ,"[H0202000007] HIMGRN:B17F119432, PRINCIPAL TUITION AND OTHER FEES -TUITION AND OTHER FEES OF SEC. CLASSES.",1,95
 , , ,31/07/2017,Total,1,2250
 , , , ,"[I0202000006] HIMGRN:B17G126513, PRINCIPAL TUITION AND OTHER FEES -TUITION AND OTHER FEES",1,2250
 , , ,25/04/2018,Total,1,1125
 , , , ,"[F0202000001] HIMGRN:B18D115519, GSSS HATAUN TUITION AND OTHER FEES -",1,1125
 , , ,24/05/2018,Total,1,2372
 , , , ,"[G0202000010] HIMGRN:B18E134632, GSSS HATAUN TUITION AND OTHER FEES -",1,2372
 , , ,21/06/2018,Total,2,85
 , , , ,"[H0202000004] HIMGRN:B18F107784, GSSS-HATAUN TUITION AND OTHER FEES -",1,10
 , , , ,"[H0202000005] HIMGRN:B18F107795, GSSS-HATAUN TUITION AND OTHER FEES -",1,75
 , , ,30/06/2018,Total,1,2435
 , , , ,"[H0202000014] HIMGRN:B18F137548, GSSS-HATAUN TUITION AND OTHER FEES -",1,2435
