DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,96,1019300
MDI10-213-PR GOVT COLLEGE KARSOG,Total, , , ,96,1019300
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,2,40
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,2,40
 , , ,07/06/2017,Total,1,20
 , , , ,"[H0070000001] HIMGRN:B17F102297, PRINCIPAL GOVT COLLEGE KARSOG RECEIPT FROM RIGHT TO INFORMATION ACT -",1,20
 , , ,30/06/2018,Total,1,20
 , , , ,"[H0070000014] HIMGRN:B18F142918, PRINCIPAL GOVT COLLEGE KARSOG RECEIPT FROM RIGHT TO INFORMATION ACT -",1,20
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,94,1019260
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,1,19550
 , , ,30/06/2017,Total,1,19550
 , , , ,"[H0202000022] HIMGRN:B17F136629, PRINCIPAL GOVT COLLEGE KARSOG TUITION AND OTHER FEES -",1,19550
 , ,0202-01-103-01-TUTION AND OTHER FEES,Total, ,92,928650
 , , ,22/06/2017,Total,2,24250
 , , , ,"[H0202000012] HIMGRN:B17F125733, PRINCIPAL GOVT COLLEGE KARSOG TUTION AND OTHER FEES -",1,4000
 , , , ,"[H0202000013] HIMGRN:B17F127103, PRINCIPAL GOVT COLLEGE KARSOG TUTION AND OTHER FEES -",1,20250
 , , ,30/06/2017,Total,8,226050
 , , , ,"[H0202000016] HIMGRN:B17F129095, PRINCIPAL GOVT COLLEGE KARSOG TUTION AND OTHER FEES -",1,25150
 , , , ,"[H0202000017] HIMGRN:B17F132801, PRINCIPAL GOVT COLLEGE KARSOG TUTION AND OTHER FEES -",1,37200
 , , , ,"[H0202000018] HIMGRN:B17F132184, PRINCIPAL GOVT COLLEGE KARSOG TUTION AND OTHER FEES -",1,28225
 , , , ,"[H0202000020] HIMGRN:B17F134584, PRINCIPAL GOVT COLLEGE KARSOG TUTION AND OTHER FEES -",1,28375
 , , , ,"[H0202000021] HIMGRN:B17F138743, PRINCIPAL GOVT COLLEGE KARSOG TUTION AND OTHER FEES -",1,10250
 , , , ,"[H0202000024] HIMGRN:B17F140920, PRINCIPAL GOVT COLLEGE KARSOG TUTION AND OTHER FEES -",1,23850
