DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,11,68456
MDI12-233-GSSS  LONGANI,Total, , , ,11,68456
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,11,68456
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,8,23145
 , , ,29/04/2017,Total,1,5355
 , , , ,"[F0202000020] HIMGRN:B17D163824, PGSSS LONGNI TUITION AND OTHER FEES -Tuition Fee,Add. Fee,SLC.",1,5355
 , , ,22/05/2017,Total,1,145
 , , , ,"[G0202000022] HIMGRN:B17E124307, PRINCIPAL TUITION AND OTHER FEES -TUITION OTHER FEE",1,145
 , , ,31/05/2017,Total,1,150
 , , , ,"[G0202000038] HIMGRN:B17E151545, PRINCIPAL TUITION AND OTHER FEES -tuition and other fees",1,150
 , , ,21/09/2017,Total,1,3130
 , , , ,"[K0202000008] HIMGRN:B17I111000, PRINCIPAL GSSS LONGNI TUITION AND OTHER FEES -",1,3130
 , , ,31/10/2017,Total,1,3150
 , , , ,"[L0202000018] HIMGRN:B17J134745, PRINCIPAL TUITION AND OTHER FEES -TUITION AND OTHER FEE.",1,3150
 , , ,30/01/2018,Total,1,3105
 , , , ,"[C0202000013] HIMGRN:B18A138274, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,3105
 , , ,24/05/2018,Total,1,5165
 , , , ,"[G0202000011] HIMGRN:B18E108492, PRINCIPAL TUITION AND OTHER FEES -",1,5165
 , , ,07/08/2018,Total,1,2945
 , , , ,"[J0202000001] HIMGRN:B18H102462, PRINCIPAL TUITION AND OTHER FEES -",1,2945
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,3,952
 , , ,30/01/2018,Total,1,5
 , , , ,"[C0202000013] HIMGRN:B18A138274, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,5
 , , ,22/03/2018,Total,1,54
 , , , ,"[E0202000004] HIMGRN:B18C111326, PRINCIPAL MISCELLANEOUS RECEIPTS -Cost of library book (Acc. No. 1139) Rs. 45/- and RS. 9/- fine Total Rs. 54/",1,54
 , , ,31/03/2018,Total,1,893
 , , , ,"[E0202000017] HIMGRN:B18C164040, PRINCIPAL MISCELLANEOUS RECEIPTS -Miscellaneous Receipts Cost of library books (Acc.No.721, Acc.No. 642) Rs.18",1,893
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,44359
 , , ,24/08/2017,Total,1,44359
 , , , ,"[J0202000007] HIMGRN:B17H118529, PRINCIPAL RECOVERIES OF OVER PAYMENT -Recovery of overpayment in r/o Sh. Krishan Dev, Jr. Asstt.",1,44359
