DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,106,570060
MDI14-510-SUPERINTENDENT OF POLICE,Total, , , ,106,570060
 ,0041-TAXES ON VEHICLES,Total, , ,105,570000
 , ,0041-00-101-04-PENALTY,Total, ,105,570000
 , , ,21/04/2017,Total,3,21100
 , , , ,"[F0041000026] HIMGRN:b17d127600, SHO PS GOHAR PENALTY -",1,1200
 , , , ,"[F0041000027] HIMGRN:b17d123131, SHO PS GOHAR PENALTY -",1,12700
 , , , ,"[F0041000038] HIMGRN:B17D139289, SHO PS GOHAR PENALTY -",1,7200
 , , ,29/04/2017,Total,1,4900
 , , , ,"[F0041000065] HIMGRN:B17D166903, SHO PS GOHAR PENALTY -",1,4900
 , , ,22/05/2017,Total,1,25100
 , , , ,"[G0041000031] HIMGRN:b17e123323, SHO PS GOHAR PENALTY -",1,25100
 , , ,31/05/2017,Total,3,22400
 , , , ,"[G0041000050] HIMGRN:B17E135326, SHO PS GOHAR PENALTY -",1,9400
 , , , ,"[G0041000063] HIMGRN:B17E144239, SHO PS GOHAR PENALTY -",1,7300
 , , , ,"[G0041000067] HIMGRN:B17E146937, SHO PS GOHAR PENALTY -",1,5700
 , , ,27/06/2017,Total,3,22100
 , , , ,"[H0041000008] HIMGRN:B17F102094, SHO PS GOHAR PENALTY -",1,10500
 , , , ,"[H0041000023] HIMGRN:B17F114444, SHO PS GOHAR PENALTY -",1,5000
 , , , ,"[H0041000040] HIMGRN:B17F123655, SHO PS GOHAR PENALTY -",1,6600
 , , ,30/06/2017,Total,1,10300
 , , , ,"[H0041000070] HIMGRN:B17F138360, SHO PS GOHAR PENALTY -",1,10300
 , , ,20/07/2017,Total,1,10200
 , , , ,"[I0041000041] HIMGRN:B17G128974, INSP CHAND KISHOR PENALTY -Cash of MV Act Challan",1,10200
 , , ,31/07/2017,Total,3,20200
 , , , ,"[I0041000061] HIMGRN:B17G137196, SHO PS GOHAR PENALTY -Cash under MV Act",1,9400
 , , , ,"[I0041000071] HIMGRN:B17G144206, SHO PS GOHAR PENALTY -Cash Under MV Act",1,6100
 , , , ,"[I0041000088] HIMGRN:B17G149944, SHO PS GOHAR PENALTY -cash MV Act Challan",1,4700
 , , ,24/08/2017,Total,3,17200
 , , , ,"[J0041000017] HIMGRN:B17H109112, SHO PS GOHAR PENALTY -Cash under MV Act",1,8300
 , , , ,"[J0041000035] HIMGRN:B17H113823, SHO PS GOHAR PENALTY -Cash under MV Act",1,4200
 , , , ,"[J0041000046] HIMGRN:B17H117549, SHO PS GOHAR PENALTY -Cash under MV Act",1,4700
 , , ,31/08/2017,Total,4,16300
 , , , ,"[J0041000067] HIMGRN:B17H124399, SHO PS GOHAR PENALTY -Cash under MV Act",1,4200
 , , , ,"[J0041000080] HIMGRN:B17H130405, SHO PS GOHAR PENALTY -Cash under MV Act",1,7800
 , , , ,"[J0041000093] HIMGRN:B17H134580, SHO PS GOHAR PENALTY -Cash Under MV Act",1,1300
 , , , ,"[J0041000106] HIMGRN:B17H140126, SHO PS GOHAR PENALTY -Cash under MV Act",1,3000
 , , ,08/09/2017,Total,1,2300
