DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,11,28493
MDI15-202-BEEO DHARAMPUR-II,Total, , , ,11,28493
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,11,28493
 , ,0202-01-101-02-SECONDARY EDUCATION,Total, ,2,3161
 , , ,30/12/2017,Total,2,3161
 , , , ,"[N0202000006] HIMGRN:B17L128222, BEEO DHARAMPUR-II SECONDARY EDUCATION -",1,1166
 , , , ,"[N0202000007] HIMGRN:B17L128216, BPEO DHARAMPUR-II MANDI HP SECONDARY EDUCATION -",1,1995
 , ,0202-01-101-04-MISCELLANEOUS RECEIPTS,Total, ,1,500
 , , ,28/02/2018,Total,1,500
 , , , ,"[D0202000006] HIMGRN:B18B116548, SURESH MEM PUB ELY SCHOOL BRAHAFALD MISCELLANEOUS RECEIPTS -",1,500
 , ,0202-01-101-05-RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUION MAMANGEMENT,Total, ,6,7500
 , , ,22/01/2018,Total,1,500
 , , , ,"[C0202000005] HIMGRN:B18A119655, STAR PUBLIC SCHOOL SANDHOLE RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -",1,500
 , , ,24/01/2018,Total,3,6000
 , , , ,"[C0202000008] HIMGRN:B18A131666, JVM PUBLIC SCHOOL PEHAD RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -",1,5000
 , , , ,"[C0202000009] HIMGRN:B18A132947, JALPA NAVJYOTI PUBLIC SCHOOL GIUN RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -",1,500
 , , , ,"[C0202000010] HIMGRN:B18A133063, GIAN SAROVER ADARSH VIDYALA BAHRI RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -",1,500
 , , ,28/02/2018,Total,2,1000
 , , , ,"[D0202000004] HIMGRN:B18B112602, HEADMASTER RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -RENEWAL FEES",1,500
 , , , ,"[D0202000005] HIMGRN:B18B114720, HEAD MASTER LITTLE HEART PUBLIC SCHOOL BAROTI RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -Renewal fee",1,500
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,15952
 , , ,21/12/2017,Total,1,15952
 , , , ,"[N0202000003] HIMGRN:B17L117462, SANJAY KUMAR RECOVERIES OF OVER PAYMENT -Over Payment Recovery",1,15952
 , ,0202-01-600-03-MISCELLANEOUS RECEIPTS,Total, ,1,1380
 , , ,30/12/2017,Total,1,1380
 , , , ,"[N0202000009] HIMGRN:B17L135899, GCPS RERA REKHERA MISCELLANEOUS RECEIPTS -",1,1380
