DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,6,19345
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,Total, , , ,6,19345
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,6,19345
 , ,0202-01-103-01-TUTION AND OTHER FEES,Total, ,5,19045
 , , ,06/12/2017,Total,1,7200
 , , , ,"[N0202000004] HIMGRN:B17L102628, PRINCIPAL GDC REWALSAR TUTION AND OTHER FEES -",1,7200
 , , ,29/12/2017,Total,1,50
 , , , ,"[N0202000010] HIMGRN:B17L109328, GDC REWALSAR TUTION AND OTHER FEES -",1,50
 , , ,22/03/2018,Total,1,45
 , , , ,"[E0202000003] HIMGRN:B18C113683, PRINCIPAL TUTION AND OTHER FEES -",1,45
 , , ,23/07/2018,Total,1,10975
 , , , ,"[I0202000003] HIMGRN:B18G110486, GDC REWALSAR TUTION AND OTHER FEES -Tution Fee",1,10975
 , , ,31/07/2018,Total,1,775
 , , , ,"[I0202000007] HIMGRN:B18G143761, PRINCIPAL TUTION AND OTHER FEES -",1,775
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,300
 , , ,09/08/2018,Total,1,300
 , , , ,"[J0202000005] HIMGRN:B18H106344, GDC REWALSAR RECOVERIES OF OVER PAYMENT -",1,300
