DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,9,5001690
PNG00-005-BLOCK MEDICAL OFFICER PANGI,Total, , , ,9,5001690
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,3,41320
 , ,0070-60-800-05-MISCELLANEOUS RECEIPTS,Total, ,2,41250
 , , ,25/04/2017,Total,2,41250
 , , , ,[F007000009 ] LIASION OFFICER DHARWAS HELICOPTER FEE,1,9750
 , , , ,[F007000010 ] LIASION OFFICER DHARWAS HELICOPTER FEE,1,31500
 , ,0070-60-800-11-RECEIPT FROM RIGHT TO INFORMATION ACT.,Total, ,1,70
 , , ,11/08/2017,Total,1,70
 , , , ,[J007000001 ] BMO CUM PIO PANGI RTI,1,70
 ,0210-MEDICAL & PUBLIC HEALTH,Total, , ,4,6370
 , ,0210-02-800-01-RECCOVERY OF OVER PAYMENT- ALLOPATHY,Total, ,4,6370
 , , ,23/05/2017,Total,1,450
 , , , ,[G021000001 ] B M O PANGI AT KILLAR FEE,1,450
 , , ,17/06/2017,Total,1,630
 , , , ,[H021000001 ] HARISH CHANDRO MHW RECOVERY OF OVERPAYMENT,1,630
 , , ,01/08/2017,Total,1,1990
 , , , ,[J021000001 ] BMO PANGI RECOVERY OF OVER PAYMENT,1,1990
 , , ,11/08/2017,Total,1,3300
 , , , ,[J021000002 ] BMO PANGI ROP,1,3300
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,2,4954000
 , ,8782-00-102-00- ,Total, ,2,4954000
 , , ,16/08/2017,Total,1,4500000
 , , , ,[J878200015 ] BMO PANGI HELTH BUILDING AC,1,4500000
 , , ,04/10/2017,Total,1,454000
 , , , ,[L878200002 ] BMO PANGI PHC BUILDING,1,454000
