DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,15,30306
PNG00-204-PR GSSS PURTHI,Total, , , ,15,30306
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,15,30306
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,14,15306
 , , ,11/04/2017,Total,2,985
 , , , ,[F020200003 ] PRINCIPAL GSSS PURTHI TUTION FEE,1,815
 , , , ,[F020200005 ] PRINCIPAL GSSS PURTHI SLC FEE,1,170
 , , ,25/04/2017,Total,1,2865
 , , , ,[F020200012 ] PRINCIPAL GSSS PURTHI ADMITION FEE,1,2865
 , , ,31/05/2017,Total,1,30
 , , , ,[G020200010 ] PRINCIPAL GSSS PURTHI ADMISSION FEE,1,30
 , , ,18/07/2017,Total,1,1760
 , , , ,[I020200013 ] PRINCIPAL GSSS PURTHI AD FEE,1,1760
 , , ,03/11/2017,Total,1,1620
 , , , ,[M020200001 ] PRINCIPAL GSSS PURTHI ,1,1620
 , , ,02/01/2018,Total,2,1885
 , , , ,[C020200002 ] PRINCIPAL G S S S PURTHI TUTION FEES,1,1400
 , , , ,[C020200003 ] PRINCIPAL G S S S PURTHI SLC FEE,1,485
 , , ,22/03/2018,Total,1,1880
 , , , ,[E020200003 ] PR GSSS  PURHTI PANGI TUTION FEE,1,1880
 , , ,19/04/2018,Total,1,251
 , , , ,[F020200002 ] PR GSSS PURTHI ,1,251
 , , ,02/05/2018,Total,1,2445
 , , , ,[G020200002 ] PR GSSS PURTHI ,1,2445
 , , ,11/06/2018,Total,1,50
 , , , ,[H020200004 ] PR GSSS PURTHI ,1,50
 , , ,10/07/2018,Total,1,65
 , , , ,[I020200003 ] PR GSSS PURTHI TUITION FEE,1,65
 , , ,17/07/2018,Total,1,1470
 , , , ,[I020200009 ] PR GSSS PURTHI ,1,1470
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,15000
 , , ,21/10/2017,Total,1,15000
 , , , ,[L020200003 ] PRINCIPAL GSSS PURTHI ,1,15000
