DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,15,162526
"SML01-607-E.E. PWD DIVISION,CHOPAL",Total, , , ,15,162526
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,15,162526
 , ,8782-00-102-00- ,Total, ,15,162526
 , , ,30/06/2017,Total,1,14380
 , , , ,[H8782000002] AE HPPWD KUPVI MISC RECEIPT,1,14380
 , , ,31/07/2017,Total,1,7120
 , , , ,[I8782000003] A E HPPWD KUPVI MISC RECEIPT,1,7120
 , , ,31/08/2017,Total,1,7660
 , , , ,[J8782000003] AE HPPWD KUPVI MISC RECEIPT,1,7660
 , , ,29/09/2017,Total,2,41806
 , , , ,[K8782000001] A E HPPWD KUPVI CHEQUE NO 6956954,1,21156
 , , , ,[K8782000002] AE B&R KUPVI MISC RECEIPT,1,20650
 , , ,31/10/2017,Total,1,5730
 , , , ,[L8782000001] AE HP PWD SUB DIVISION KUPVI CASH REMINTENCE,1,5730
 , , ,30/12/2017,Total,2,4990
 , , , ,[N8782000001] A E HPPWD SUB DIVIN KUPVI PWREMMITTANCE MISC RECEIPT,1,2460
 , , , ,[N8782000003] A E HPPWD SUB DIVISION KUPVI PWD RIMMITTANCE MISC REC,1,2530
 , , ,30/01/2018,Total,1,7560
 , , , ,[C8782000004] A E HPPWD SUB DIVISION KUPVI CASH REMITTANCE MISC REC,1,7560
 , , ,28/02/2018,Total,1,14280
 , , , ,[D8782000002] E E PWD SD KUPVI 14280,1,14280
 , , ,31/03/2018,Total,1,9420
 , , , ,[E8782000002] AE.HPPWD SUB DIVISION KUPVI CASH REMMINTS,1,9420
 , , ,27/04/2018,Total,1,16200
 , , , ,[F8782000003] A E PWD SUB DIVISION KUPVI MISC REC CR REC,1,16200
 , , ,30/06/2018,Total,2,13260
 , , , ,[H8782000001] A E PWD SUB DIVISION KUPVI MISC REC PW REMITTANCE,1,6720
 , , , ,[H8782000004] ASST ENGINEER KUPVI SUB DIVISION PWD. KUPVI SHIMLA cash remmittances,1,6540
 , , ,31/07/2018,Total,1,8400
 , , , ,[I8782000003] E E PWD S D KUPVI MISC REC C R,1,8400
 , , ,31/08/2018,Total,1,11720
 , , , ,[J8782000002] A E HPPWD S D KUPVI PW REMITTANCE,1,11720
