DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,6,1925
SML02-203-HM GHS PURAG,Total, , , ,6,1925
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,6,1925
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,6,1815
 , , ,31/05/2017,Total,1,270
 , , , ,"[G0202000004] HIMGRN:B17D164913, PRINCIPAL GSSS PURAG MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -tuition and addmission fee of class 10+1 march 2017",1,270
 , , ,31/07/2017,Total,1,320
 , , , ,"[I0202000002] HIMGRN:B17G107241, PRINCIPAL GSSS PURAG TUITION AND OTHER FEES -tuition Fees=270, and SLC FEES=50= 320",1,320
 , , ,31/10/2017,Total,1,270
 , , , ,"[L0202000001] HIMGRN:B17J106718, PRINCIPAL GSSS PURAG TUITION AND OTHER FEES -TUITION FEES Rs 270",1,270
 , , ,30/12/2017,Total,1,270
 , , , ,"[N0202000001] HIMGRN:B17L110879, PRINCIPAL GSSS PURAG TUITION AND OTHER FEES -TUITION FEES=270",1,270
 , , ,27/04/2018,Total,2,685
 , , , ,"[F0202000004] HIMGRN:B18D107746, PRINCIPAL GSSS PURAG TUITION AND OTHER FEES -admission fees 110,late fees-10= Total 120",1,120
 , , , ,"[F0202000006] HIMGRN:B18D131888, PRINCIPAL GSSS PURAG TUITION AND OTHER FEES -tuition fees 405 admission fees 160 total 565",1,565
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,1,110
 , , ,31/05/2017,Total,1,110
 , , , ,"[G0202000004] HIMGRN:B17D164913, PRINCIPAL GSSS PURAG MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -tuition and addmission fee of class 10+1 march 2017",1,110
