DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,9,3150
SML03-950-CHIEF ELECTRICAL INSPECTOR,Total, , , ,9,3150
 ,0043-TAXES & DUTIES ON ELECTRICITY,Total, , ,9,3150
 , ,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,Total, ,9,3150
 , , ,29/04/2017,Total,2,650
 , , , ,"[F0043000001] HIMGRN:B17C110455, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,250
 , , , ,"[F0043000002] HIMGRN:B17C110449, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,400
 , , ,31/10/2017,Total,6,1900
 , , , ,"[L0043000001] HIMGRN:B17J102224, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,200
 , , , ,"[L0043000002] HIMGRN:B17J102219, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,250
 , , , ,"[L0043000003] HIMGRN:B17J102211, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,250
 , , , ,"[L0043000004] HIMGRN:B17J102200, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,400
 , , , ,"[L0043000005] HIMGRN:B17J102196, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,400
 , , , ,"[L0043000006] HIMGRN:B17J102205, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,400
 , , ,28/02/2018,Total,1,600
 , , , ,"[D0043000001] HIMGRN:B18A143732, SR EXECUTIVE ENGINEER HPSEBL RECEIPT UNDER THE INDIAN ELECTRICITY RULE -63KVA S/Stn.= 400/-, 22KV HT Line= 200/-, Grand Total= 60",1,600
