DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,7,5635
SML04-231-GSSS DEOTHI BALSON,Total, , , ,7,5635
 ,0042-TAXES ON GOODS & PASSENGERS,Total, , ,1,3500
 , ,0042-00-104-01-RECEIPTS FROM GOODS TAX,Total, ,1,3500
 , , ,29/09/2017,Total,1,3500
 , , , ,[K0042000022] SANJAY HP132947,1,3500
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,6,2135
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,5,1770
 , , ,31/05/2017,Total,1,425
 , , , ,"[G0202000020] HIMGRN:B17E121910, PRI GSSS DEOTHI TUITION AND OTHER FEES -",1,425
 , , ,31/08/2017,Total,1,335
 , , , ,"[J0202000016] HIMGRN:B17H113956, PRINCIPAL TUITION AND OTHER FEES -",1,335
 , , ,31/03/2018,Total,1,315
 , , , ,"[E0202000041] HIMGRN:B18C130476, GSSS DEOTHI BALSON TUITION AND OTHER FEES -",1,315
 , , ,30/06/2018,Total,1,425
 , , , ,"[H0202000024] HIMGRN:B18F128048, PRI GSSS DEOTHI BALSON TUITION AND OTHER FEES -",1,425
 , , ,31/07/2018,Total,1,270
 , , , ,"[I0202000009] HIMGRN:B18G112207, PRI MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,270
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,1,40
 , , ,31/07/2018,Total,1,40
 , , , ,"[I0202000009] HIMGRN:B18G112207, PRI MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,40
 , ,0202-01-102-06-Rashtriya Madhyamik Shiksha Abhiyan (RMSA),Total, ,1,325
 , , ,31/10/2017,Total,1,325
 , , , ,"[L0202000013] HIMGRN:B17J116804, PRI GSSS DEOTHI RASHTRIYA MADHYAMIK SHIKSHA ABHIYAN (RMSA) -",1,325
