DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,12,41635
SML06-832-FOREST DIVISION ROHRU,Total, , , ,12,41635
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,12,41635
 , ,8782-00-103-00- ,Total, ,12,41635
 , , ,31/07/2017,Total,1,3613
 , , , ,"[I8782000001] HIMGRN:B17G148841, KULDDEP SINGH FOREST REMITTANCES -T.D FEES",1,3613
 , , ,31/10/2017,Total,3,9486
 , , , ,"[L8782000001] HIMGRN:B17J132123, BAL KRISHAN FOREST REMITTANCES -",1,7000
 , , , ,"[L8782000002] HIMGRN:B17J132073, KULDEEP SINGH FOREST REMITTANCES -",1,1490
 , , , ,"[L8782000003] HIMGRN:B17J133235, KULDEEP SINGH FOREST REMITTANCES -VAT AMOUNT VIDE Dr No 5/T,6/T AND 7/T 2017-18",1,996
 , , ,30/11/2017,Total,1,591
 , , , ,"[M8782000001] HIMGRN:B17K113873, BO TIKKAR FOREST REMITTANCES -",1,591
 , , ,30/12/2017,Total,1,5730
 , , , ,"[N8782000001] HIMGRN:B17L102340, KULDEEP SINGH FOREST REMITTANCES -TD FEES",1,5730
 , , ,30/01/2018,Total,1,7176
 , , , ,"[C8782000001] HIMGRN:B18A119557, BO TIKKAR FOREST REMITTANCES -TD fee",1,7176
 , , ,28/02/2018,Total,2,8501
 , , , ,"[D8782000001] HIMGRN:B18B137833, KULDE EP SINGH FOREST REMITTANCES -",1,3660
 , , , ,"[D8782000002] HIMGRN:B18B137505, KULDEEP SINGH FOREST REMITTANCES -td fees",1,4841
 , , ,31/03/2018,Total,2,4838
 , , , ,"[E8782000001] HIMGRN:B18C112387, KULDEEP SINGH FOREST REMITTANCES -TD FEE",1,3660
 , , , ,"[E8782000002] HIMGRN:B18C113932, KULDEEP SINGH FOREST REMITTANCES -TD FEE",1,1178
 , , ,29/05/2018,Total,1,1700
 , , , ,"[G8782000001] HIMGRN:B18E105765, KULDEEP SINGH FOREST REMITTANCES -DR NO 8T AND9T 2017-18",1,1700
