DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,6,7396
SML07-220-GSSS TANGNU,Total, , , ,6,7396
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,6,7396
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,6,7396
 , , ,31/05/2017,Total,1,1515
 , , , ,[G0202000004] G S S S TANAGU ADM FEE,1,1515
 , , ,30/06/2017,Total,1,195
 , , , ,[H0202000007] P S S STANGNU AD FEE,1,195
 , , ,31/07/2017,Total,1,1040
 , , , ,[I0202000010] G S S S TANGU S L C,1,1040
 , , ,31/10/2017,Total,1,990
 , , , ,[L0202000003] G S S S TANGNU TUTION FEE,1,990
 , , ,30/06/2018,Total,2,2631
 , , , ,"[H0202000006] HIMGRN:B18F127678, PRINCIPAL GSSS TANGNU TUITION AND OTHER FEES -",1,1621
 , , , ,"[H0202000007] HIMGRN:B18F126775, PRINCIPAL GSSS TANGNOO TUITION AND OTHER FEES -",1,1010
 , , ,31/07/2018,Total,1,1025
 , , , ,"[I0202000013] HIMGRN:B18G149821, PRINCIPAL GSSS TANGNOO TUITION AND OTHER FEES -",1,1025
