DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,32,298675
SML08-525-DEPUTY DIRECTOR AGRICULTURE,Total, , , ,32,298675
 ,0401-CROP HUSBANDRY,Total, , ,8,5560
 , ,0401-00-800-01-AGRICULTURE - RECEIPTS FROM AUCTION,Total, ,4,3485
 , , ,31/05/2017,Total,1,585
 , , , ,[G0401000003] SEC. THE MAHAMAI F/V. GROWER MARKETING SOC. ADDU REN. FEE,1,585
 , , ,31/08/2017,Total,2,2400
 , , , ,[J0401000004] AREA MANAGER HIM FED RAMPUR SALE CENTER NANKHARI RECEIPT,1,2250
 , , , ,[J0401000005] AREA MANAGER HIM FED RAMPUR SALE CENTER NANKHERI RECEIPT,1,150
 , , ,29/09/2017,Total,1,500
 , , , ,[K0401000001] PARDHAN PALTHAN SOCIETY SHOLI REG FEE,1,500
 , ,0401-00-800-03-MISCELLANEOUS RECEIPTS,Total, ,4,2075
 , , ,31/05/2017,Total,1,525
 , , , ,[G0401000008] AEO DEV. BLOCK NANKHARI LIC FEE,1,525
 , , ,30/06/2017,Total,1,525
 , , , ,[H0401000001] SMT. SEEMA DEVI FERTILIZERS LICENCE FEE,1,525
 , , ,30/11/2017,Total,1,525
 , , , ,[M0401000001] THE NARGE NAG COOP CONSSUMER STORE LTD KHUNNI PALOLI REN. LICENCE FEE,1,525
 , , ,29/05/2018,Total,1,500
 , , , ,[G0401000005] SH. TEJU RAM FERT.LIN.FEE,1,500
 ,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,Total, , ,24,293115
 , ,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,Total, ,16,217178
 , , ,31/05/2017,Total,2,26800
 , , , ,[G4401000001] AEO DEV. BLOCK NANKHARI PURCHASE OF IMPROVED SEED,1,12800
 , , , ,[G4401000002] AEO DEV. BLOCK NANKHARI IMPROVED SEED,1,14000
 , , ,30/06/2017,Total,2,1873
 , , , ,[H4401000001] AEO DEV. BLOCK NANKHARI PURCHASE OF IMP. SEED,1,221
 , , , ,[H4401000002] AEO. DEV. BLOCK NANKHARI PURCHASE OF IMP. SEED,1,1652
 , , ,31/07/2017,Total,1,4708
 , , , ,[I4401000001] AEO DEV. BLOCK NANKHARI PURCHASE OF IMPROVED SEED,1,4708
 , , ,31/08/2017,Total,1,5000
 , , , ,[J4401000001] AEO DEV. BLOCK NANKHARI PURCHAGE OF IMPROVED SEED,1,5000
 , , ,29/09/2017,Total,2,28151
 , , , ,[K4401000001] A E O NANKHARI PPM DETAIL LEAF,1,20573
 , , , ,[K4401000002] AEO NANKHARI PURCHAGE OF IMPROVED SEED,1,7578
 , , ,31/10/2017,Total,1,525
 , , , ,[L4401000001] THE JAHOO RAIK COOP SOC. JUNI KOTIGHAT PURCHASE OF IMP.SEED,1,525
 , , ,30/12/2017,Total,1,21000
 , , , ,[N4401000004] AEO NANKHARI PURCHASE OF IMP. SEED,1,21000
 , , ,28/02/2018,Total,1,8250
 , , , ,[D4401000001] AEO NANKHARI PUR. OF IMP. SEEDS,1,8250
 , , ,31/03/2018,Total,2,15321
 , , , ,[E4401000001] AEO NANKHARI PURCHASE OF IMP. SEED,1,15156
 , , , ,[E4401000003] AEO NANKHARI PUR. OF IMP. SEED,1,165
 , , ,27/04/2018,Total,1,53225
 , , , ,[F4401000001] AEO NANKHARI PUR. OF IMP.SEED,1,53225
 , , ,31/07/2018,Total,2,28625
 , , , ,[I4401000001] AEO NANKHARI PURCHAGE OF IMPROWED SEED,1,27425
 , , , ,[I4401000003] AEO DEV. BLOCK NANKHARI PURCHAGE OF IMP. SEEDS,1,1200
 , , ,31/08/2018,Total,1,23700
 , , , ,[J4401000002] AEO NANKHARI PURCH.OF IMP,1,23700
 , ,4401-00-901-03-PURCHASE OF PLANT PROTECTION EQUIPMENTS,Total, ,3,17780
 , , ,30/12/2017,Total,1,1095
 , , , ,[N4401000001] AEO NANKHARI PURCHASE OF PP EQUIPMENTS,1,1095
 , , ,30/01/2018,Total,1,16515
 , , , ,[C4401000003] AEO NANKHARI PUR. OF PP.E.,1,16515
 , , ,31/03/2018,Total,1,170
 , , , ,[E4401000002] AEO NANKHARI PUR. OF PP EQUIPMENTS,1,170
 , ,4401-00-901-04-PURCHASE OF IMPROVED IMPLEMENTS,Total, ,6,58157
 , , ,30/12/2017,Total,2,4347
 , , , ,[N4401000002] AEO NANKHARI PURCHASE OF IMPLEMENTS,1,1320
 , , , ,[N4401000003] AEO NANKHARI PURCHASE OF IMPLEMENTS,1,3027
 , , ,30/01/2018,Total,2,52725
 , , , ,[C4401000001] AEO NANKHARI PURCHAGE OF IMP.,1,7480
 , , , ,[C4401000002] AEO NANKHARI PUR. OF IMP.,1,45245
 , , ,31/07/2018,Total,1,525
 , , , ,[I4401000002] VIPAN MEHTA FERT.L.FEE,1,525
 , , ,31/08/2018,Total,1,560
 , , , ,[J4401000001] SHASHI KRISHAN ASSOCIAT KHOLIGHAT PURCH. OF IMP.,1,560
