DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,3,4150
SML08-950-CHIEF ELECTRICAL INSPECTOR,Total, , , ,3,4150
 ,0043-TAXES & DUTIES ON ELECTRICITY,Total, , ,3,4150
 , ,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,Total, ,3,4150
 , , ,30/12/2017,Total,1,950
 , , , ,"[N0043000001] HIMGRN:B17L103825, BHARTI INFRATEL LTD RECEIPT UNDER THE INDIAN ELECTRICITY RULE -25KVA SUBSTATION 22KV HT LINE 1.2KM MVI CONNECTED LOAD 18",1,950
 , , ,30/01/2018,Total,1,400
 , , , ,"[C0043000001] A.E.ELECTRICAL S/D. HPSEB NANKHARI CON.OF 4KV,63KVA",1,400
 , , ,27/04/2018,Total,1,2800
 , , , ,[F0043000001] AE ELECTRICAL S/D. HPSEB NANKHARI C/O KV HT LINE,1,2800
