DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,9,9021
SML09-210-GSSS MANDAL,Total, , , ,9,9021
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,9,9021
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,7,5528
 , , ,31/05/2017,Total,1,1596
 , , , ,"[G0202000010] HIMGRN:B17E112995, PRINCIPAL GSSS MANDAL TUITION AND OTHER FEES -Admission Fee and Late Fee , Tution Fee Re Admission",1,1596
 , , ,31/10/2017,Total,1,1580
 , , , ,"[L0202000010] HIMGRN:B17J115890, TUITIONFEE TUITION AND OTHER FEES -",1,1580
 , , ,30/12/2017,Total,1,635
 , , , ,"[N0202000008] HIMGRN:B17L124118, PRINCIPAL TUITION AND OTHER FEES -",1,635
 , , ,27/04/2018,Total,1,1170
 , , , ,"[F0202000002] HIMGRN:b18d151245, PRINCIPAL GSSS MANDAL TUITION AND OTHER FEES -",1,1170
 , , ,30/06/2018,Total,2,170
 , , , ,"[H0202000008] HIMGRN:b18f113351, PRINCIPAL GSSS MANDAL TUITION AND OTHER FEES -challan for SLC tution fee and others",1,150
 , , , ,"[H0202000013] HIMGRN:B18F128107, PRINCIPAL GSSS MANDAL TUITION AND OTHER FEES -Chalan for tution ,fee ,anf fine fee",1,20
 , , ,31/07/2018,Total,1,377
 , , , ,"[I0202000020] HIMGRN:B18G133085, PRINCIPAL TUITION AND OTHER FEES -OVER PAYMENT INCREASEMENT",1,377
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,2,3493
 , , ,31/10/2017,Total,1,1708
 , , , ,"[L0202000011] HIMGRN:B17J116393, OVER PAYMENT RECOVERIES OF OVER PAYMENT -",1,1708
 , , ,31/03/2018,Total,1,1785
 , , , ,"[E0202000001] HIMGRN:B18C104988, PRINCIPAL GSSS MANDAL RECOVERIES OF OVER PAYMENT -OVER PAYMENT RECOVERY",1,1785
