DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,11,255103
SML11-002-BLOCK MEDICAL OFFICER KUMARSAIN,Total, , , ,11,255103
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,2,60
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,50
 , , ,29/05/2018,Total,1,50
 , , , ,"[G0070000001] HIMGRN:B18E106874, BMO KUMARSAIN RECEIPT FROM RIGHT TO INFORMATION ACT -rti fee in respect of Smt. Uma Devi",1,50
 , ,0070-60-800-05-MISCELLANEOUS RECEIPTS,Total, ,1,10
 , , ,31/03/2018,Total,1,10
 , , , ,"[E0070000004] HIMGRN:B18C135579, BMO KUMARSAIN MISCELLANEOUS RECEIPTS -RTI fee of Chetna d/o Sh. Chuni Lal Vill. Churthi PO Madhawani Tehsil Kumars",1,10
 ,0210-MEDICAL & PUBLIC HEALTH,Total, , ,9,255043
 , ,0210-01-800-01-RECOVERY OF OVER PAYMENT- ALLOPATHY,Total, ,7,189543
 , , ,31/05/2017,Total,1,91650
 , , , ,"[G0210000001] HIMGRN:B17E133582, BMO KUMARSAIN RECOVERY OF OVER PAYMENT- ALLOPATHY -Recovery of Three Month Salary after Resignation from the Govt.",1,91650
 , , ,29/09/2017,Total,2,1649
 , , , ,"[K0210000001] HIMGRN:B17I130506, BMO KUMARSAIN RECOVERY OF OVER PAYMENT- ALLOPATHY -Recovery of MR in R/o Dinesh Kumar C-IV Vide Bill No. 100255 dt",1,575
 , , , ,"[K0210000002] HIMGRN:B17I130540, BMO KUMARSAIN RECOVERY OF OVER PAYMENT- ALLOPATHY -Recovery of MR in r/o Balak Ram C-IV vide bill No. 100259 dt. 2",1,1074
 , , ,28/02/2018,Total,2,599
 , , , ,"[D0210000001] HIMGRN:B18B110147, BMO KUMARSAIN RECOVERY OF OVER PAYMENT- ALLOPATHY -Recovery of MRC in R/o Dr. Gyan Chand Thakur vide Try. Vr. No.",1,68
 , , , ,"[D0210000003] HIMGRN:B18B136633, BMO KUMARSAIN RECOVERY OF OVER PAYMENT- ALLOPATHY -Jagdish Chand Jr. Assistant MR Recovery of voucher no 28 of 03/",1,531
 , , ,31/03/2018,Total,1,695
 , , , ,"[E0210000001] HIMGRN:B18B136700, BMO KUMARSAIN RECOVERY OF OVER PAYMENT- ALLOPATHY -MR Recovery I/o Sh. N.K.Mehta Voucher no 589 dated 3/2016 vide",1,695
 , , ,31/07/2018,Total,1,94950
 , , , ,"[I0210000001] HIMGRN:B18G115743, BMO KUMARSAIN RECOVERY OF OVER PAYMENT- ALLOPATHY -RECOVERY OF OVER PAYMENT(3 MONTHS SALARY) IN R/O DR ASEEM SIRKE",1,94950
 , ,0210-01-800-06-SALE PROCEEDS OF DEAD STOKS ETC-ALLOPATY,Total, ,2,65000
 , , ,30/06/2017,Total,1,16250
 , , , ,"[H0210000001] HIMGRN:B17F129717, BMO KUMARSAIN SALE PROCEEDS OF DEAD STOKS ETC-ALLOPATY -",1,16250
 , , ,31/07/2017,Total,1,48750
 , , , ,"[I0210000001] HIMGRN:B17G129684, BMO KUMARSAIN SALE PROCEEDS OF DEAD STOKS ETC-ALLOPATY -the payment of auction of old building of ch kumarsain",1,48750
 , ,0210-04-104-01-RECEIPT FROM FEES AND FINES,Total, ,1,500
 , , ,28/02/2018,Total,1,500
 , , , ,"[D0210000002] HIMGRN:B18B110745, MO I/C CHC BARAGAON RECEIPT FROM FEES AND FINES -RKS Registration Fees of CHC Baragaon under Block Kumarsain.",1,500
