DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,11,6226
SML12-213-GSSS SHEEL,Total, , , ,11,6226
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,11,6226
 , ,0202-01-101-02-SECONDARY EDUCATION,Total, ,3,1870
 , , ,30/06/2018,Total,1,60
 , , , ,"[H0202000008] HIMGRN:B18F111711, PRINCIPAL GSSS SHEEL SECONDARY EDUCATION -SLC 60/-",1,60
 , , ,31/07/2018,Total,1,10
 , , , ,"[I0202000023] HIMGRN:B18G120099, PRINCIPAL GSSS SHEEL SECONDARY EDUCATION -SLC RS 10",1,10
 , , ,31/08/2018,Total,1,1800
 , , , ,"[J0202000004] HIMGRN:B18H100838, PRINCIPAL GSSS SHEEL SECONDARY EDUCATION -over payment Rs 1800/-",1,1800
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,8,4356
 , , ,30/06/2017,Total,2,936
 , , , ,"[H0202000011] HIMGRN:B17F111298, PRINCIPAL GSSS SHEEL TUITION AND OTHER FEES -SLC 60.00 Admission Fee 45.00 Readmission fee 1.00 total 106.00",1,106
 , , , ,"[H0202000012] HIMGRN:B17F111273, PRINCIPAL GSSS SHEEL TUITION AND OTHER FEES -Admission fee 250/- tuition fee 540/- late fee 40/- total 830/-",1,830
 , , ,31/10/2017,Total,2,1045
 , , , ,"[L0202000016] HIMGRN:B17J138036, PRINCIPAL GSSS SHEEL TUITION AND OTHER FEES -Tuition fee Class 10+1 Rs 360 Tuition fee Class 10+2 Rs 180/- Total Rs 540/-",1,540
 , , , ,"[L0202000017] HIMGRN:B17J138024, PRINCIPAL GSSS SHEEL TUITION AND OTHER FEES -Admission fee class10+1 10/- Tuition fee Class 10+1 Rs315/- Tuition fee Clas",1,505
 , , ,30/12/2017,Total,1,45
 , , , ,"[N0202000007] HIMGRN:B17L107562, PRINCIPAL GSSS SHEEL TUITION AND OTHER FEES -Tuition fee class 10+1 Rs 45/-",1,45
 , , ,31/03/2018,Total,1,495
 , , , ,"[E0202000044] HIMGRN:B18C147081, PRINCIPAL GSSS SHEEL TUITION AND OTHER FEES -Tuition fee w.e.f. 01/01/2018 to 31/03/2018",1,495
 , , ,30/06/2018,Total,1,1115
 , , , ,"[H0202000009] HIMGRN:b18f111694, PRINCIPAL GSSS SHEEL TUITION AND OTHER FEES -admission fee 300/- late admission fee 10/- tuition fee 765/- slc 40/-",1,1115
 , , ,31/07/2018,Total,1,720
 , , , ,"[I0202000022] HIMGRN:B18G120118, PRINCIPAL GSSS SHEEL TUITION AND OTHER FEES -tuition fee class 10+1 Rs 405 class 10+2 Rs 315 total 720.00",1,720
