DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,9,9490
SML15-204-GSSS MANEOTI,Total, , , ,9,9490
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,9,9490
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,9,9490
 , , ,31/05/2017,Total,2,2365
 , , , ,[G0202000015] PR. GSSS MANEOTI TUTION AND OTHER FEES,1,2035
 , , , ,[G0202000028] PR. GSSS MANEOTI TUTION AND OTHER FEES,1,330
 , , ,31/08/2017,Total,1,1425
 , , , ,[J0202000002] PR. GSSS MANEOTI TUTION AND OTHER FEES,1,1425
 , , ,30/11/2017,Total,1,1260
 , , , ,[M0202000008] PR. GSSS MANEOTI TUTION AND OTHER FEES,1,1260
 , , ,28/02/2018,Total,1,1260
 , , , ,[D0202000004] PR. GSSS MANEOTI TUTION AND OTHER FEES,1,1260
 , , ,31/03/2018,Total,1,180
 , , , ,[E0202000004] PR. GSSS MANEOTI TUTION AND OTHER FEE,1,180
 , , ,29/05/2018,Total,2,1775
 , , , ,[G0202000007] PR. GSSS MANEOTI TUTION AND OTHER FEES,1,50
 , , , ,[G0202000008] PR. GSSS MANEOTI TUTION AND OTHER FEES,1,1725
 , , ,31/08/2018,Total,1,1225
 , , , ,"[J0202000006] HIMGRN:B18H104389, PR GSSS MANEOTI TUITION AND OTHER FEES -TUITION AND OTHER FEE AMOUNT 1225",1,1225
