DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,7,11723
SMR02-217-PRINCIPAL,Total, , , ,7,11723
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,50
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,50
 , , ,22/05/2018,Total,1,50
 , , , ,"[G0070000017] HIMGRN:B18E123096, PIO CUM PRINCIPAL GSSS HARIPUR KHOL RECEIPT FROM RIGHT TO INFORMATION ACT -",1,50
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,5,10907
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,5,10907
 , , ,22/05/2017,Total,1,2280
 , , , ,"[G0202000014] HIMGRN:B17E116131, PRINCIPAL HARIPUR KHOL DISTT SIRMOUR HP TUITION AND OTHER FEES -Adm.Fees, Re-Adm.Fees, Late Fees Fine, SLC fees, Tution Fees",1,2280
 , , ,30/06/2017,Total,1,775
 , , , ,"[H0202000023] HIMGRN:B17F123303, PRINCIPAL GSSS HARIPUR KHOL TUITION AND OTHER FEES -ADMISSION FEES, RE-ADMISSION FEES, TUTION FEES, LATE.ADM FEES.SLC FEES",1,775
 , , ,20/10/2017,Total,1,1890
 , , , ,"[L0202000001] HIMGRN:B17I136900, PRY GSSS HARIPUR KHOL TUITION AND OTHER FEES -SLC AND LATE FEES IN R/O GSSS HARIPUR KHOL DISTT.SIRMOUR HP",1,1890
 , , ,30/10/2017,Total,1,3600
 , , , ,"[L0202000012] HIMGRN:B17J128679, PRINCIPAL GSSS HARIPUR KHOL TUITION AND OTHER FEES -",1,3600
 , , ,21/06/2018,Total,1,2362
 , , , ,"[H0202000007] HIMGRN:B18F110396, PRINCIPAL TUITION AND OTHER FEES -",1,2362
 ,8011-INSURANCE AND PENSION FUNDS,Total, , ,1,766
 , ,8011-00-107-01-INSURANCE FUND,Total, ,1,290
 , , ,05/01/2018,Total,1,290
 , , , ,"[C8011000001] HIMGRN:B17L137468, PRINCIPAL HARIPURKHOL SAVING FUND INSURANCE FUND -SF and IF with interest of Sh Amerjeet Singh PGT",1,290
 , ,8011-00-107-02-SAVING FUND,Total, ,1,476
 , , ,05/01/2018,Total,1,476
 , , , ,"[C8011000001] HIMGRN:B17L137468, PRINCIPAL HARIPURKHOL SAVING FUND INSURANCE FUND -SF and IF with interest of Sh Amerjeet Singh PGT",1,476
