DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,2,198800
SMR06-211-PRINCIPAL GOVT ITI MAINA,Total, , , ,2,198800
 ,0230-LABOUR & EMPLOYMENT,Total, , ,2,198800
 , ,0230-00-800-08-OTHER MISC.RECEIPTS- TECHNICAL EDUCATION,Total, ,2,198800
 , , ,29/04/2017,Total,1,104600
 , , , ,"[F0230000001] HIMGRN:B17D137160, PRINCIPAL OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,104600
 , , ,20/10/2017,Total,1,51000
 , , , ,"[L0230000001] HIMGRN:B17I135296, PRINCIPAL OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,51000
 , , ,21/04/2018,Total,1,43200
 , , , ,"[F0230000001] HIMGRN:B18D121732, PRINCIPAL OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Tuition Fee",1,43200
