DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,9,1293
SMR06-501-DEPUTY COMMISSIONER SIRMOUR  ,Total, , , ,9,1293
 ,0029-LAND REVENUE,Total, , ,9,1293
 , ,0029-00-105-01-REALISATION OF COMPENSATION FROM TENANTS,Total, ,9,1293
 , , ,31/07/2017,Total,1,475
 , , , ,"[I0029000003] HIMGRN:B17G144481, LAND REFORM OFFICER RENUKAJI REALISATION OF COMPENSATION FROM TENANTS -",1,475
 , , ,31/08/2017,Total,1,427
 , , , ,"[J0029000003] HIMGRN:B17H135364, LAND REFORM OFFICER RENUKAJI REALISATION OF COMPENSATION FROM TENANTS -",1,427
 , , ,20/10/2017,Total,1,89
 , , , ,"[L0029000001] HIMGRN:B17J101986, LAND REFORM OFFICER RENUKAJI REALISATION OF COMPENSATION FROM TENANTS -",1,89
 , , ,30/10/2017,Total,1,20
 , , , ,"[L0029000005] HIMGRN:B17J130058, LAND REFORM OFFICER SANGRAH REALISATION OF COMPENSATION FROM TENANTS -",1,20
 , , ,30/12/2017,Total,1,129
 , , , ,"[N0029000002] HIMGRN:b17l133980, LAND REFORM OFFICER REALISATION OF COMPENSATION FROM TENANTS -",1,129
 , , ,28/02/2018,Total,1,102
 , , , ,"[D0029000002] HIMGRN:B18B135315, LRO RENUKAJI REALISATION OF COMPENSATION FROM TENANTS -",1,102
 , , ,05/05/2018,Total,1,33
 , , , ,"[G0029000001] HIMGRN:b18e102483, LRO SANGRAH REALISATION OF COMPENSATION FROM TENANTS -",1,33
 , , ,30/06/2018,Total,1,14
 , , , ,"[H0029000001] HIMGRN:B18F140010, TEHSILDAR REALISATION OF COMPENSATION FROM TENANTS -",1,14
 , , ,31/07/2018,Total,1,4
 , , , ,"[I0029000002] HIMGRN:B18G143750, LRO SANGRAH REALISATION OF COMPENSATION FROM TENANTS -",1,4
