DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,435,16587603
SOL00-508-CIVIL JUDGE (SR DIVISION) SOLAN,Total, , , ,435,16587603
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,328,945207
 , ,0070-01-102-01-FINES AND FOREFEITURES,Total, ,234,909156
 , , ,03/04/2017,Total,2,7800
 , , , ,[F0070000002] CJM SOLAN FINE,1,7700
 , , , ,[F0070000003] CJM SOLAN FINE,1,100
 , , ,05/04/2017,Total,1,500
 , , , ,[F0070000007] CJM SOLAN FINE,1,500
 , , ,06/04/2017,Total,1,1100
 , , , ,[F0070000010] CJM SOLAN FINE,1,1100
 , , ,07/04/2017,Total,1,2200
 , , , ,[F0070000016] CJM SOLAN FINE,1,2200
 , , ,10/04/2017,Total,3,21100
 , , , ,[F0070000018] CJM SOLAN FINE,1,11400
 , , , ,[F0070000019] CJM SOLAN FINE,1,9200
 , , , ,[F0070000020] CJM SOLAN FINE,1,500
 , , ,11/04/2017,Total,1,1000
 , , , ,[F0070000045] CJM SOLAN FINE,1,1000
 , , ,12/04/2017,Total,1,1000
 , , , ,[F0070000047] CJM SOLAN FINE,1,1000
 , , ,18/04/2017,Total,1,10000
 , , , ,[F0070000055] CJM SOLAN FINE,1,10000
 , , ,19/04/2017,Total,1,10900
 , , , ,[F0070000062] CJM SOLAN FINE,1,10900
 , , ,21/04/2017,Total,1,400
 , , , ,[F0070000090] CJM SOLAN FINE,1,400
 , , ,24/05/2017,Total,2,7250
 , , , ,[G0070000098] CJM SOLAN FINE,1,3200
 , , , ,[G0070000099] CJ SN DIV SOLAN SARKAR ALLOWANCES,1,4050
 , , ,25/05/2017,Total,1,10700
 , , , ,[G0070000100] CJM SOLAN FINE,1,10700
 , , ,26/05/2017,Total,1,18100
 , , , ,[G0070000104] CJM SOLAN FINE,1,18100
 , , ,29/05/2017,Total,2,7800
 , , , ,[G0070000108] CJM SOLAN FINE,1,3600
 , , , ,[G0070000109] CJM SOLAN FINE,1,4200
 , , ,30/05/2017,Total,1,7200
 , , , ,[G0070000119] CJM SOLAN FINE,1,7200
 , , ,31/05/2017,Total,1,200
 , , , ,[G0070000125] CJM SOLAN FINE,1,200
 , , ,01/06/2017,Total,1,10200
 , , , ,[H0070000003] CJM SOLAN FINE,1,10200
 , , ,02/06/2017,Total,1,100
 , , , ,[H0070000006] CJM SOLAN FINE,1,100
 , , ,05/06/2017,Total,1,300
 , , , ,[H0070000011] CJM SOLAN FINE,1,300
 , , ,12/06/2017,Total,1,500
 , , , ,[H0070000045] CJM SOLAN FINE,1,500
 , , ,13/06/2017,Total,1,9200
 , , , ,[H0070000050] CJM SOLAN FINE,1,9200
 , , ,14/06/2017,Total,1,500
